EndStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Bermondsey Street, Bermondsey",68.0,82.0,79.0,71.0,75.0,66.0,51.497855,-0.081608
"Berry Street, Clerkenwell",86.0,71.0,88.0,77.0,80.5,49.0,51.522853,-0.099994
"Beryl Road, Hammersmith",31.0,30.0,34.0,22.0,29.25,34.0,51.488144,-0.222456
"Bethnal Green Garden, Bethnal Green",44.0,48.0,41.0,42.0,43.75,33.0,51.52568,-0.055312
"Bethnal Green Road, Shoreditch",175.0,155.0,153.0,155.0,159.5,135.0,51.523648,-0.074754
"Bevington Road West, North Kensington",66.0,58.0,60.0,58.0,60.5,46.0,51.5212,-0.208888
"Binfield Road, Stockwell",57.0,75.0,70.0,60.0,65.5,57.0,51.472509,-0.122831
"Birkenhead Street, King's Cross",72.0,57.0,62.0,45.0,59.0,39.0,51.530199,-0.122299
"Bishop's Avenue, Fulham",54.0,40.0,33.0,40.0,41.75,46.0,51.473036,-0.214749
"Bishop's Bridge Road East, Bayswater",22.0,14.0,28.0,26.0,22.5,17.0,51.5171,-0.18377
"Bishop's Bridge Road West, Bayswater",79.0,57.0,71.0,54.0,65.25,61.0,51.51616,-0.18697
"Black Lion Gate, Kensington Gardens",87.0,249.0,232.0,204.0,193.0,151.0,51.509908,-0.187842
"Black Prince Road, Vauxhall",60.0,52.0,39.0,53.0,51.0,42.0,51.490867,-0.116911
"Blackfriars Road, Southwark",63.0,100.0,67.0,67.0,74.25,63.0,51.505461,-0.10454
"Blackfriars Station, St. Paul's",123.0,95.0,108.0,110.0,109.0,78.0,51.511934,-0.103078
"Blenheim Crescent, Ladbroke Grove",50.0,37.0,40.0,33.0,40.0,43.0,51.515108,-0.208565
"Blythe Road West, Shepherd's Bush",27.0,16.0,29.0,27.0,24.75,32.0,51.49968,-0.221791
"Blythe Road, Olympia",32.0,31.0,39.0,20.0,30.5,29.0,51.496927,-0.2135
