StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Bermondsey Street, Bermondsey",75.0,79.0,86.0,72.0,78.0,61.0,51.497855,-0.081608
"Berry Street, Clerkenwell",86.0,65.0,91.0,68.0,77.5,58.0,51.522853,-0.099994
"Beryl Road, Hammersmith",44.0,24.0,34.0,34.0,34.0,27.0,51.488144,-0.222456
"Bethnal Green Garden, Bethnal Green",44.0,51.0,37.0,51.0,45.75,40.0,51.52568,-0.055312
"Bethnal Green Road, Shoreditch",154.0,154.0,141.0,140.0,147.25,133.0,51.523648,-0.074754
"Bevington Road West, North Kensington",61.0,68.0,56.0,47.0,58.0,49.0,51.5212,-0.208888
"Binfield Road, Stockwell",59.0,65.0,68.0,66.0,64.5,40.0,51.472509,-0.122831
"Birkenhead Street, King's Cross",65.0,36.0,48.0,38.0,46.75,54.0,51.530199,-0.122299
"Bishop's Avenue, Fulham",53.0,33.0,48.0,45.0,44.75,30.0,51.473036,-0.214749
"Bishop's Bridge Road East, Bayswater",30.0,26.0,25.0,31.0,28.0,23.0,51.5171,-0.18377
"Bishop's Bridge Road West, Bayswater",87.0,71.0,77.0,58.0,73.25,66.0,51.51616,-0.18697
"Black Lion Gate, Kensington Gardens",87.0,248.0,240.0,198.0,193.25,149.0,51.509908,-0.187842
"Black Prince Road, Vauxhall",57.0,57.0,48.0,48.0,52.5,41.0,51.490867,-0.116911
"Blackfriars Road, Southwark",58.0,101.0,67.0,86.0,78.0,64.0,51.505461,-0.10454
"Blackfriars Station, St. Paul's",122.0,97.0,106.0,110.0,108.75,81.0,51.511934,-0.103078
"Blenheim Crescent, Ladbroke Grove",53.0,35.0,41.0,32.0,40.25,31.0,51.515108,-0.208565
"Blythe Road West, Shepherd's Bush",23.0,16.0,28.0,32.0,24.75,25.0,51.49968,-0.221791
"Blythe Road, Olympia",28.0,40.0,30.0,27.0,31.25,29.0,51.496927,-0.2135
"Bolsover Street, Fitzrovia",67.0,59.0,55.0,55.0,59.0,53.0,51.523518,-0.143613
"Bonner Gate, Victoria Park",60.0,86.0,73.0,65.0,71.0,74.0,51.53341,-0.049591
"Bonny Street, Camden Town",82.0,74.0,59.0,51.0,66.5,61.0,51.541603,-0.138853
"Borough High Street, The Borough",59.0,35.0,67.0,41.0,50.5,38.0,51.500694,-0.094524
"Borough Road, Elephant & Castle",38.0,47.0,43.0,35.0,40.75,20.0,51.498898,-0.10044
"Boston Place, Marylebone",101.0,87.0,107.0,119.0,103.5,75.0,51.522511,-0.162298
"Bourne Street, Belgravia",71.0,33.0,54.0,45.0,50.75,37.0,51.490959,-0.153233
"Bouverie Street, Temple",50.0,41.0,63.0,64.0,54.5,50.0,51.513821,-0.107927
"Bow Church Station, Bow",59.0,81.0,59.0,43.0,60.5,52.0,51.528169,-0.018703
"Bow Road Station, Bow",42.0,61.0,55.0,33.0,47.75,32.0,51.527058,-0.025296
