StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude,geometry,index_right,NAME,DISTRICT,New Code,Borough,Population and Age; All ages; 2013,Population and Age; Median age; 2013,House Prices; Median House Price; 2014,Household Income; Mean Modelled Household income (); 2012/13,Employment; Economic Activity (Percentages) - 2011 Census; Economically active: % In employment,Road Casualties; Total Casualties; 2014,Land Use; % Greenspace; 2005,Land Use; % Road; 2005,Land Use; % Water; 2005
"Eccleston Place, Victoria",111.0,104.0,119.0,122.0,114.0,84.0,51.49395,-0.147624,POINT (-0.147624 51.49395),180,Warwick,City of Westminster,E05000647,Westminster,9650.0,34.0,857250.0,86200.0,93.84744342,51.0,4.864185197,34.17331243,0.0
"Elizabeth Bridge, Victoria",63.0,44.0,63.0,52.0,55.5,70.0,51.492369,-0.147478,POINT (-0.147478 51.492369),180,Warwick,City of Westminster,E05000647,Westminster,9650.0,34.0,857250.0,86200.0,93.84744342,51.0,4.864185197,34.17331243,0.0
"Gloucester Street, Pimlico",53.0,71.0,63.0,38.0,56.25,70.0,51.490962,-0.139625,POINT (-0.139625 51.490962),180,Warwick,City of Westminster,E05000647,Westminster,9650.0,34.0,857250.0,86200.0,93.84744342,51.0,4.864185197,34.17331243,0.0
"Guildhouse Street, Victoria",37.0,39.0,43.0,42.0,40.25,23.0,51.492345,-0.141334,POINT (-0.141334 51.492345),180,Warwick,City of Westminster,E05000647,Westminster,9650.0,34.0,857250.0,86200.0,93.84744342,51.0,4.864185197,34.17331243,0.0
"Queen Mother Sports Centre, Victoria",75.0,71.0,74.0,62.0,70.5,83.0,51.493573,-0.139956,POINT (-0.139956 51.493573),180,Warwick,City of Westminster,E05000647,Westminster,9650.0,34.0,857250.0,86200.0,93.84744342,51.0,4.864185197,34.17331243,0.0
"Warwick Square, Pimlico",52.0,51.0,49.0,44.0,49.0,53.0,51.489856,-0.141923,POINT (-0.141923 51.489856),180,Warwick,City of Westminster,E05000647,Westminster,9650.0,34.0,857250.0,86200.0,93.84744342,51.0,4.864185197,34.17331243,0.0
"Alfreda Street, Battersea Park",47.0,43.0,54.0,41.0,46.25,48.0,51.47505,-0.150908,POINT (-0.150908 51.47505),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Austin Road, Battersea Park",59.0,48.0,56.0,50.0,53.25,47.0,51.474376,-0.155442,POINT (-0.155442 51.474376),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Battersea Park Road, Nine Elms",84.0,99.0,78.0,79.0,85.0,88.0,51.479501,-0.14177,POINT (-0.14177 51.479501),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Battersea Power Station, Battersea Park",104.0,93.0,107.0,93.0,99.25,108.0,51.483507,-0.147714,POINT (-0.147714 51.483507),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Gas Holders, Battersea Park",119.0,126.0,100.0,116.0,115.25,84.0,51.477966,-0.147857,POINT (-0.147857 51.477966),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Prince of Wales Drive, Battersea Park",56.0,40.0,39.0,50.0,46.25,46.0,51.475153,-0.159169,POINT (-0.159169 51.475153),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Queen's Circus, Battersea Park",80.0,91.0,95.0,90.0,89.0,71.0,51.477619,-0.149551,POINT (-0.149551 51.477619),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Riverlight North, Nine Elms",59.0,71.0,69.0,84.0,70.75,81.0,51.482362,-0.136123,POINT (-0.136123 51.482362),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Riverlight South, Nine Elms",64.0,61.0,66.0,58.0,62.25,42.0,51.481335,-0.138212,POINT (-0.138212 51.481335),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Silverthorne Road, Battersea",35.0,42.0,35.0,26.0,34.5,32.0,51.472865,-0.148059,POINT (-0.148059 51.472865),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Sopwith Way, Battersea Park",86.0,84.0,73.0,52.0,73.75,53.0,51.481121,-0.149035,POINT (-0.149035 51.481121),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Stanley Grove, Battersea",31.0,20.0,22.0,26.0,24.75,27.0,51.470475,-0.15213,POINT (-0.15213 51.470475),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Stewart's Road, Wandsworth Road",25.0,21.0,32.0,16.0,23.5,21.0,51.473116,-0.137235,POINT (-0.137235 51.473116),130,Queenstown,Wandsworth,E05000620,Wandsworth,18300.0,31.0,630000.0,53840.0,92.58350632,94.0,29.74569113,12.45085635,5.182174973
"Alma Road, Wandsworth",21.0,17.0,21.0,15.0,18.5,25.0,51.457991,-0.184806,POINT (-0.184806 51.457991),126,Fairfield,Wandsworth,E05000614,Wandsworth,15050.0,32.0,500000.0,68040.0,96.08294931,89.0,6.546081591,24.38864676,2.116544554
"Mexfield Road, East Putney",14.0,9.0,13.0,8.0,11.0,10.0,51.45682,-0.202802,POINT (-0.202802 51.45682),126,Fairfield,Wandsworth,E05000614,Wandsworth,15050.0,32.0,500000.0,68040.0,96.08294931,89.0,6.546081591,24.38864676,2.116544554
"Morie Street, Wandsworth",12.0,16.0,13.0,16.0,14.25,18.0,51.459953,-0.190184,POINT (-0.190184 51.459953),126,Fairfield,Wandsworth,E05000614,Wandsworth,15050.0,32.0,500000.0,68040.0,96.08294931,89.0,6.546081591,24.38864676,2.116544554
"Nantes Close, Wandsworth",16.0,28.0,17.0,16.0,19.25,7.0,51.46193,-0.180791,POINT (-0.180791 51.46193),126,Fairfield,Wandsworth,E05000614,Wandsworth,15050.0,32.0,500000.0,68040.0,96.08294931,89.0,6.546081591,24.38864676,2.116544554
"Plough Terrace, Clapham Junction",26.0,26.0,15.0,38.0,26.25,22.0,51.462305,-0.175407,POINT (-0.175407 51.462305),126,Fairfield,Wandsworth,E05000614,Wandsworth,15050.0,32.0,500000.0,68040.0,96.08294931,89.0,6.546081591,24.38864676,2.116544554
"Ram Street, Wandsworth",52.0,57.0,71.0,49.0,57.25,43.0,51.457529,-0.192165,POINT (-0.192165 51.457529),126,Fairfield,Wandsworth,E05000614,Wandsworth,15050.0,32.0,500000.0,68040.0,96.08294931,89.0,6.546081591,24.38864676,2.116544554
"Santos Road, Wandsworth",8.0,8.0,8.0,9.0,8.25,6.0,51.457059,-0.200806,POINT (-0.200806 51.457059),126,Fairfield,Wandsworth,E05000614,Wandsworth,15050.0,32.0,500000.0,68040.0,96.08294931,89.0,6.546081591,24.38864676,2.116544554
"Smugglers Way, Wandsworth",21.0,30.0,36.0,31.0,29.5,22.0,51.461083,-0.191722,POINT (-0.191722 51.461083),126,Fairfield,Wandsworth,E05000614,Wandsworth,15050.0,32.0,500000.0,68040.0,96.08294931,89.0,6.546081591,24.38864676,2.116544554
"Spanish Road, Clapham Junction",17.0,9.0,10.0,9.0,11.25,15.0,51.459225,-0.180884,POINT (-0.180884 51.459225),126,Fairfield,Wandsworth,E05000614,Wandsworth,15050.0,32.0,500000.0,68040.0,96.08294931,89.0,6.546081591,24.38864676,2.116544554
"Wandsworth Town Station, Wandsworth",47.0,41.0,48.0,40.0,44.0,28.0,51.460864,-0.187427,POINT (-0.187427 51.460864),126,Fairfield,Wandsworth,E05000614,Wandsworth,15050.0,32.0,500000.0,68040.0,96.08294931,89.0,6.546081591,24.38864676,2.116544554
"Ampton Street , Clerkenwell",26.0,34.0,40.0,29.0,32.25,30.0,51.52728,-0.118295,POINT (-0.118295 51.52728),194,King's Cross,Camden,E05000141,Camden,12300.0,27.0,625000.0,50390.0,86.54416123,57.0,15.19928128,28.29467494,0.017967984
"Belgrove Street , King's Cross",233.0,224.0,251.0,169.0,219.25,94.0,51.529943,-0.123616,POINT (-0.123616 51.529943),194,King's Cross,Camden,E05000141,Camden,12300.0,27.0,625000.0,50390.0,86.54416123,57.0,15.19928128,28.29467494,0.017967984
"Birkenhead Street, King's Cross",65.0,36.0,48.0,38.0,46.75,54.0,51.530199,-0.122299,POINT (-0.122299 51.530199),194,King's Cross,Camden,E05000141,Camden,12300.0,27.0,625000.0,50390.0,86.54416123,57.0,15.19928128,28.29467494,0.017967984
"Cartwright Gardens , Bloomsbury",38.0,24.0,19.0,47.0,32.0,33.0,51.526357,-0.125979,POINT (-0.125979 51.526357),194,King's Cross,Camden,E05000141,Camden,12300.0,27.0,625000.0,50390.0,86.54416123,57.0,15.19928128,28.29467494,0.017967984
"Cromer Street, Bloomsbury",21.0,27.0,41.0,16.0,26.25,14.0,51.528279,-0.119558,POINT (-0.119558 51.528279),194,King's Cross,Camden,E05000141,Camden,12300.0,27.0,625000.0,50390.0,86.54416123,57.0,15.19928128,28.29467494,0.017967984
"St. Chad's Street, King's Cross",27.0,36.0,27.0,26.0,29.0,29.0,51.530059,-0.120973,POINT (-0.120973 51.530059),194,King's Cross,Camden,E05000141,Camden,12300.0,27.0,625000.0,50390.0,86.54416123,57.0,15.19928128,28.29467494,0.017967984
"Tavistock Place, Bloomsbury",50.0,31.0,48.0,45.0,43.5,39.0,51.52625,-0.123509,POINT (-0.123509 51.52625),194,King's Cross,Camden,E05000141,Camden,12300.0,27.0,625000.0,50390.0,86.54416123,57.0,15.19928128,28.29467494,0.017967984
"Wren Street, Holborn",37.0,32.0,45.0,38.0,38.0,22.0,51.524564,-0.116279,POINT (-0.116279 51.524564),194,King's Cross,Camden,E05000141,Camden,12300.0,27.0,625000.0,50390.0,86.54416123,57.0,15.19928128,28.29467494,0.017967984
"Archbishop's Park, Waterloo",19.0,43.0,45.0,39.0,36.5,34.0,51.498241,-0.117495,POINT (-0.117495 51.498241),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Baylis Road, Waterloo",111.0,97.0,116.0,92.0,104.0,75.0,51.501444,-0.110699,POINT (-0.110699 51.501444),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Belvedere Road 1, South Bank",66.0,55.0,72.0,62.0,63.75,38.0,51.506133,-0.114686,POINT (-0.114686 51.506133),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Belvedere Road 2, South Bank",40.0,53.0,38.0,48.0,44.75,36.0,51.50621,-0.114842,POINT (-0.114842 51.50621),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Concert Hall Approach 1, South Bank",26.0,25.0,37.0,29.0,29.25,16.0,51.505044,-0.115851,POINT (-0.115851 51.505044),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Concert Hall Approach 2, South Bank",40.0,37.0,30.0,41.0,37.0,23.0,51.504942,-0.115533,POINT (-0.115533 51.504942),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"King Edward Walk, Waterloo",16.0,13.0,27.0,11.0,16.75,6.0,51.49775,-0.10988,POINT (-0.10988 51.49775),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Lambeth North Station, Waterloo",33.0,36.0,25.0,45.0,34.75,34.0,51.49914,-0.112031,POINT (-0.112031 51.49914),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Lambeth Palace Road, Waterloo",145.0,138.0,106.0,119.0,127.0,76.0,51.500089,-0.116628,POINT (-0.116628 51.500089),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Lambeth Road, Vauxhall",44.0,46.0,34.0,41.0,41.25,33.0,51.494881,-0.117974,POINT (-0.117974 51.494881),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Lower Marsh, Waterloo",69.0,49.0,48.0,46.0,53.0,43.0,51.500139,-0.113936,POINT (-0.113936 51.500139),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Sail Street, Vauxhall",27.0,33.0,32.0,17.0,27.25,28.0,51.495656,-0.114605,POINT (-0.114605 51.495656),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Stamford Street, South Bank",45.0,51.0,52.0,52.0,50.0,45.0,51.505569,-0.111606,POINT (-0.111606 51.505569),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Walnut Tree Walk, Vauxhall",49.0,45.0,45.0,40.0,44.75,41.0,51.493686,-0.111014,POINT (-0.111014 51.493686),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Waterloo Bridge, South Bank",27.0,35.0,20.0,42.0,31.0,25.0,51.505354,-0.113656,POINT (-0.113656 51.505354),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Waterloo Road, South Bank",41.0,39.0,30.0,34.0,36.0,33.0,51.50486,-0.113001,POINT (-0.113001 51.50486),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Waterloo Station 1, Waterloo",270.0,228.0,301.0,242.0,260.25,114.0,51.504027,-0.113864,POINT (-0.113864 51.504027),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Waterloo Station 2, Waterloo",158.0,137.0,147.0,88.0,132.5,66.0,51.503919,-0.113426,POINT (-0.113426 51.503919),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Waterloo Station 3, Waterloo",298.0,225.0,203.0,204.0,232.5,161.0,51.503791,-0.112824,POINT (-0.112824 51.503791),40,Bishop's,Lambeth,E05000416,Lambeth,10650.0,31.0,590000.0,51170.0,91.3317022,99.0,12.59564171,20.39973504,13.34725714
"Arlington Road, Camden Town",42.0,33.0,53.0,35.0,40.75,16.0,51.539957,-0.145246,POINT (-0.145246 51.539957),192,Camden Town with Primrose Hill,Camden,E05000130,Camden,12950.0,35.0,813500.0,71650.0,93.08672763,91.0,12.82107317,20.67590244,1.402536585
"Bonny Street, Camden Town",82.0,74.0,59.0,51.0,66.5,61.0,51.541603,-0.138853,POINT (-0.138853 51.541603),192,Camden Town with Primrose Hill,Camden,E05000130,Camden,12950.0,35.0,813500.0,71650.0,93.08672763,91.0,12.82107317,20.67590244,1.402536585
"Castlehaven Road, Camden Town",81.0,85.0,78.0,64.0,77.0,56.0,51.542138,-0.145393,POINT (-0.145393 51.542138),192,Camden Town with Primrose Hill,Camden,E05000130,Camden,12950.0,35.0,813500.0,71650.0,93.08672763,91.0,12.82107317,20.67590244,1.402536585
"Gloucester Avenue, Camden Town",40.0,41.0,41.0,43.0,41.25,27.0,51.537349,-0.147154,POINT (-0.147154 51.537349),192,Camden Town with Primrose Hill,Camden,E05000130,Camden,12950.0,35.0,813500.0,71650.0,93.08672763,91.0,12.82107317,20.67590244,1.402536585
"Greenland Road, Camden Town",52.0,57.0,86.0,60.0,63.75,31.0,51.539099,-0.141728,POINT (-0.141728 51.539099),192,Camden Town with Primrose Hill,Camden,E05000130,Camden,12950.0,35.0,813500.0,71650.0,93.08672763,91.0,12.82107317,20.67590244,1.402536585
"Parkway, Camden Town",52.0,49.0,37.0,27.0,41.25,25.0,51.538071,-0.144664,POINT (-0.144664 51.538071),192,Camden Town with Primrose Hill,Camden,E05000130,Camden,12950.0,35.0,813500.0,71650.0,93.08672763,91.0,12.82107317,20.67590244,1.402536585
"St Martins Close, Camden Town",23.0,15.0,16.0,21.0,18.75,14.0,51.538792,-0.138535,POINT (-0.138535 51.538792),192,Camden Town with Primrose Hill,Camden,E05000130,Camden,12950.0,35.0,813500.0,71650.0,93.08672763,91.0,12.82107317,20.67590244,1.402536585
"Ashley Crescent, Battersea",48.0,42.0,55.0,43.0,47.0,38.0,51.467185,-0.152248,POINT (-0.152248 51.467185),131,Shaftesbury,Wandsworth,E05000623,Wandsworth,14400.0,32.0,700000.0,71090.0,95.55622733,51.0,6.358299969,26.04298905,0.0
"Clapham Common North Side, Clapham Common",32.0,39.0,28.0,38.0,34.25,20.0,51.461343,-0.159322,POINT (-0.159322 51.461343),131,Shaftesbury,Wandsworth,E05000623,Wandsworth,14400.0,32.0,700000.0,71090.0,95.55622733,51.0,6.358299969,26.04298905,0.0
"Dorothy Road, Clapham Junction",43.0,29.0,42.0,41.0,38.75,48.0,51.465064,-0.16375,POINT (-0.16375 51.465064),131,Shaftesbury,Wandsworth,E05000623,Wandsworth,14400.0,32.0,700000.0,71090.0,95.55622733,51.0,6.358299969,26.04298905,0.0
"Holden Street, Battersea",23.0,18.0,17.0,22.0,20.0,21.0,51.46879,-0.15823,POINT (-0.15823 51.46879),131,Shaftesbury,Wandsworth,E05000623,Wandsworth,14400.0,32.0,700000.0,71090.0,95.55622733,51.0,6.358299969,26.04298905,0.0
"Sugden Road, Clapham",39.0,30.0,36.0,30.0,33.75,35.0,51.465123,-0.157788,POINT (-0.157788 51.465123),131,Shaftesbury,Wandsworth,E05000623,Wandsworth,14400.0,32.0,700000.0,71090.0,95.55622733,51.0,6.358299969,26.04298905,0.0
"Ashley Place, Victoria",84.0,67.0,74.0,53.0,69.5,72.0,51.49616,-0.140947,POINT (-0.140947 51.49616),171,Vincent Square,City of Westminster,E05000646,Westminster,10300.0,35.0,840000.0,78880.0,92.31713734,52.0,9.050663403,24.27181938,20.83306207
"Greycoat Street , Westminster",15.0,23.0,17.0,19.0,18.5,22.0,51.494591,-0.134234,POINT (-0.134234 51.494591),171,Vincent Square,City of Westminster,E05000646,Westminster,10300.0,35.0,840000.0,78880.0,92.31713734,52.0,9.050663403,24.27181938,20.83306207
"Horseferry Road, Westminster",55.0,70.0,69.0,54.0,62.0,41.0,51.494816,-0.130458,POINT (-0.130458 51.494816),171,Vincent Square,City of Westminster,E05000646,Westminster,10300.0,35.0,840000.0,78880.0,92.31713734,52.0,9.050663403,24.27181938,20.83306207
"Howick Place, Westminster",77.0,74.0,83.0,75.0,77.25,70.0,51.496753,-0.138733,POINT (-0.138733 51.496753),171,Vincent Square,City of Westminster,E05000646,Westminster,10300.0,35.0,840000.0,78880.0,92.31713734,52.0,9.050663403,24.27181938,20.83306207
"Millbank Tower, Pimlico",50.0,61.0,61.0,70.0,60.5,60.0,51.491884,-0.125674,POINT (-0.125674 51.491884),171,Vincent Square,City of Westminster,E05000646,Westminster,10300.0,35.0,840000.0,78880.0,92.31713734,52.0,9.050663403,24.27181938,20.83306207
"Page Street, Westminster",78.0,70.0,87.0,84.0,79.75,68.0,51.493978,-0.127554,POINT (-0.127554 51.493978),171,Vincent Square,City of Westminster,E05000646,Westminster,10300.0,35.0,840000.0,78880.0,92.31713734,52.0,9.050663403,24.27181938,20.83306207
"Regency Street, Westminster",49.0,55.0,40.0,51.0,48.75,29.0,51.49206,-0.132224,POINT (-0.132224 51.49206),171,Vincent Square,City of Westminster,E05000646,Westminster,10300.0,35.0,840000.0,78880.0,92.31713734,52.0,9.050663403,24.27181938,20.83306207
"Rochester Row, Westminster",35.0,44.0,55.0,21.0,38.75,39.0,51.495827,-0.135478,POINT (-0.135478 51.495827),171,Vincent Square,City of Westminster,E05000646,Westminster,10300.0,35.0,840000.0,78880.0,92.31713734,52.0,9.050663403,24.27181938,20.83306207
"Vincent Square, Westminster",35.0,30.0,35.0,30.0,32.5,25.0,51.493985,-0.136928,POINT (-0.136928 51.493985),171,Vincent Square,City of Westminster,E05000646,Westminster,10300.0,35.0,840000.0,78880.0,92.31713734,52.0,9.050663403,24.27181938,20.83306207
"Vincent Street, Pimlico",47.0,42.0,46.0,44.0,44.75,38.0,51.493072,-0.129925,POINT (-0.129925 51.493072),171,Vincent Square,City of Westminster,E05000646,Westminster,10300.0,35.0,840000.0,78880.0,92.31713734,52.0,9.050663403,24.27181938,20.83306207
"Ashmole Estate, Oval",26.0,42.0,40.0,40.0,37.0,34.0,51.482678,-0.117661,POINT (-0.117661 51.482678),35,Oval,Lambeth,E05000426,Lambeth,16000.0,31.0,699995.0,49580.0,92.74643521,105.0,21.05886027,21.05392922,0.021367873
"Kennington Oval, Oval",27.0,44.0,62.0,43.0,44.0,54.0,51.483145,-0.113134,POINT (-0.113134 51.483145),35,Oval,Lambeth,E05000426,Lambeth,16000.0,31.0,699995.0,49580.0,92.74643521,105.0,21.05886027,21.05392922,0.021367873
"Kennington Road Post Office, Oval",32.0,30.0,62.0,27.0,37.75,46.0,51.484788,-0.110683,POINT (-0.110683 51.484788),35,Oval,Lambeth,E05000426,Lambeth,16000.0,31.0,699995.0,49580.0,92.74643521,105.0,21.05886027,21.05392922,0.021367873
"South Lambeth Road, Vauxhall",67.0,47.0,60.0,66.0,60.0,58.0,51.481747,-0.124642,POINT (-0.124642 51.481747),35,Oval,Lambeth,E05000426,Lambeth,16000.0,31.0,699995.0,49580.0,92.74643521,105.0,21.05886027,21.05392922,0.021367873
"Vauxhall Cross, Vauxhall",118.0,142.0,111.0,111.0,120.5,126.0,51.485917,-0.124469,POINT (-0.124469 51.485917),35,Oval,Lambeth,E05000426,Lambeth,16000.0,31.0,699995.0,49580.0,92.74643521,105.0,21.05886027,21.05392922,0.021367873
"BBC White City, White City",38.0,50.0,41.0,44.0,43.25,36.0,51.514767,-0.225787,POINT (-0.225787 51.514767),143,College Park and Old Oak,Hammersmith and Fulham,E05000253,Hammersmith and Fulham,9950.0,32.0,458000.0,43410.0,88.33937327,56.0,48.04504013,8.196147008,0.617156003
"Baker Street, Marylebone",70.0,43.0,76.0,66.0,63.75,74.0,51.518913,-0.156166,POINT (-0.156166 51.518913),177,Marylebone High Street,City of Westminster,E05000641,Westminster,10800.0,34.0,1090000.0,103240.0,95.3146745,146.0,7.302809157,34.12976107,0.0
"Bolsover Street, Fitzrovia",67.0,59.0,55.0,55.0,59.0,53.0,51.523518,-0.143613,POINT (-0.143613 51.523518),177,Marylebone High Street,City of Westminster,E05000641,Westminster,10800.0,34.0,1090000.0,103240.0,95.3146745,146.0,7.302809157,34.12976107,0.0
"Crawford Street, Marylebone",66.0,74.0,59.0,66.0,66.25,68.0,51.52026,-0.157183,POINT (-0.157183 51.52026),177,Marylebone High Street,City of Westminster,E05000641,Westminster,10800.0,34.0,1090000.0,103240.0,95.3146745,146.0,7.302809157,34.12976107,0.0
"George Street, Marylebone",62.0,50.0,54.0,48.0,53.5,42.0,51.517703,-0.154106,POINT (-0.154106 51.517703),177,Marylebone High Street,City of Westminster,E05000641,Westminster,10800.0,34.0,1090000.0,103240.0,95.3146745,146.0,7.302809157,34.12976107,0.0
"Hinde Street, Marylebone",76.0,69.0,79.0,78.0,75.5,59.0,51.516814,-0.151926,POINT (-0.151926 51.516814),177,Marylebone High Street,City of Westminster,E05000641,Westminster,10800.0,34.0,1090000.0,103240.0,95.3146745,146.0,7.302809157,34.12976107,0.0
"Marylebone Lane, Marylebone",81.0,76.0,72.0,63.0,73.0,71.0,51.514759,-0.148105,POINT (-0.148105 51.514759),177,Marylebone High Street,City of Westminster,E05000641,Westminster,10800.0,34.0,1090000.0,103240.0,95.3146745,146.0,7.302809157,34.12976107,0.0
"New Cavendish Street, Marylebone",71.0,62.0,73.0,69.0,68.75,58.0,51.519167,-0.147983,POINT (-0.147983 51.519167),177,Marylebone High Street,City of Westminster,E05000641,Westminster,10800.0,34.0,1090000.0,103240.0,95.3146745,146.0,7.302809157,34.12976107,0.0
"Portland Place, Marylebone",55.0,73.0,39.0,44.0,52.75,51.0,51.520715,-0.145211,POINT (-0.145211 51.520715),177,Marylebone High Street,City of Westminster,E05000641,Westminster,10800.0,34.0,1090000.0,103240.0,95.3146745,146.0,7.302809157,34.12976107,0.0
"Portman Square, Marylebone",69.0,53.0,67.0,42.0,57.75,56.0,51.516204,-0.155525,POINT (-0.155525 51.516204),177,Marylebone High Street,City of Westminster,E05000641,Westminster,10800.0,34.0,1090000.0,103240.0,95.3146745,146.0,7.302809157,34.12976107,0.0
"Westminster University, Marylebone",36.0,32.0,51.0,39.0,39.5,27.0,51.522481,-0.154907,POINT (-0.154907 51.522481),177,Marylebone High Street,City of Westminster,E05000641,Westminster,10800.0,34.0,1090000.0,103240.0,95.3146745,146.0,7.302809157,34.12976107,0.0
"Baldwin Street, St. Luke's",60.0,67.0,73.0,58.0,64.5,54.0,51.527025,-0.088542,POINT (-0.088542 51.527025),231,Bunhill,Islington,E05000367,Islington,15800.0,29.0,640000.0,54080.0,88.73364664,122.0,12.04017622,25.7945501,0.0
"Bath Street, St. Luke's",90.0,70.0,71.0,68.0,74.75,63.0,51.525893,-0.090847,POINT (-0.090847 51.525893),231,Bunhill,Islington,E05000367,Islington,15800.0,29.0,640000.0,54080.0,88.73364664,122.0,12.04017622,25.7945501,0.0
"Berry Street, Clerkenwell",86.0,65.0,91.0,68.0,77.5,58.0,51.522853,-0.099994,POINT (-0.099994 51.522853),231,Bunhill,Islington,E05000367,Islington,15800.0,29.0,640000.0,54080.0,88.73364664,122.0,12.04017622,25.7945501,0.0
"Bunhill Row, Moorgate",89.0,66.0,72.0,67.0,73.5,58.0,51.520858,-0.089887,POINT (-0.089887 51.520858),231,Bunhill,Islington,E05000367,Islington,15800.0,29.0,640000.0,54080.0,88.73364664,122.0,12.04017622,25.7945501,0.0
"City Road, Angel",61.0,47.0,53.0,55.0,54.0,45.0,51.530344,-0.100168,POINT (-0.100168 51.530344),231,Bunhill,Islington,E05000367,Islington,15800.0,29.0,640000.0,54080.0,88.73364664,122.0,12.04017622,25.7945501,0.0
"Finsbury Leisure Centre, St. Luke's",74.0,69.0,93.0,97.0,83.25,83.0,51.526008,-0.096317,POINT (-0.096317 51.526008),231,Bunhill,Islington,E05000367,Islington,15800.0,29.0,640000.0,54080.0,88.73364664,122.0,12.04017622,25.7945501,0.0
