StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude,geometry,index_right,NAME,DISTRICT,New Code,Borough,Population and Age; All ages; 2013,Population and Age; Median age; 2013,House Prices; Median House Price; 2014,Household Income; Mean Modelled Household income (); 2012/13,Employment; Economic Activity (Percentages) - 2011 Census; Economically active: % In employment,Road Casualties; Total Casualties; 2014,Land Use; % Greenspace; 2005,Land Use; % Road; 2005,Land Use; % Water; 2005
"Southampton Street, Strand",42.0,87.0,78.0,67.0,68.5,39.0,51.510701,-0.121723,POINT (-0.121723 51.510701),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"St. James's Square, St. James's",191.0,134.0,182.0,141.0,162.0,110.0,51.507424,-0.134621,POINT (-0.134621 51.507424),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"St. Martin's Street, West End",42.0,55.0,42.0,40.0,44.75,43.0,51.509087,-0.129697,POINT (-0.129697 51.509087),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Strand, Strand",69.0,51.0,65.0,65.0,62.5,54.0,51.512582,-0.115057,POINT (-0.115057 51.512582),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Tavistock Street, Covent Garden",93.0,98.0,59.0,85.0,83.75,69.0,51.511968,-0.120718,POINT (-0.120718 51.511968),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Warwick Row, Westminster",101.0,100.0,112.0,104.0,104.25,101.0,51.497998,-0.14296,POINT (-0.14296 51.497998),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Waterloo Place, St. James's",40.0,81.0,32.0,54.0,51.75,30.0,51.506633,-0.131773,POINT (-0.131773 51.506633),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Wellington Arch, Hyde Park",186.0,226.0,173.0,162.0,186.75,153.0,51.50274,-0.149569,POINT (-0.149569 51.50274),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Wellington Street , Strand",89.0,100.0,81.0,92.0,90.5,75.0,51.511756,-0.119643,POINT (-0.119643 51.511756),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Westminster Pier, Westminster",191.0,112.0,137.0,167.0,151.75,132.0,51.501513,-0.123823,POINT (-0.123823 51.501513),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Whitehall Place, Strand",139.0,165.0,168.0,131.0,150.75,109.0,51.506543,-0.123179,POINT (-0.123179 51.506543),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"William IV Street, Strand",111.0,112.0,92.0,109.0,106.0,62.0,51.509462,-0.124749,POINT (-0.124749 51.509462),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Aberdeen Place, St. John's Wood",28.0,25.0,33.0,31.0,29.25,18.0,51.524826,-0.176268,POINT (-0.176268 51.524826),185,Church Street,City of Westminster,E05000634,Westminster,11950.0,34.0,440000.0,44380.0,83.13513514,43.0,11.8125406,29.3263738,0.519724904
"Bell Street , Marylebone",49.0,42.0,45.0,40.0,44.0,35.0,51.522029,-0.165842,POINT (-0.165842 51.522029),185,Church Street,City of Westminster,E05000634,Westminster,11950.0,34.0,440000.0,44380.0,83.13513514,43.0,11.8125406,29.3263738,0.519724904
"Mallory Street, Marylebone",22.0,20.0,29.0,29.0,25.0,21.0,51.525051,-0.166304,POINT (-0.166304 51.525051),185,Church Street,City of Westminster,E05000634,Westminster,11950.0,34.0,440000.0,44380.0,83.13513514,43.0,11.8125406,29.3263738,0.519724904
"Penfold Street, Marylebone",18.0,19.0,13.0,18.0,17.0,20.0,51.522892,-0.171681,POINT (-0.171681 51.522892),185,Church Street,City of Westminster,E05000634,Westminster,11950.0,34.0,440000.0,44380.0,83.13513514,43.0,11.8125406,29.3263738,0.519724904
