EndStation Name,Average Count,Count,Count Change,Latitude,Longitude
"Braham Street, Aldgate",105.75,97,-8.75,51.514233,-0.073537
"Bramham Gardens, Earl's Court",69.25,74,4.75,51.490163,-0.190393
"Breams Buildings, Holborn",44.75,41,-3.75,51.515937,-0.111778
"Brick Lane Market, Shoreditch",54.75,53,-1.75,51.522617,-0.071653
"Bricklayers Arms, Borough",63.75,82,18.25,51.495061,-0.085814
"Bridge Avenue, Hammersmith",60,57,-3,51.492084,-0.229116
"British Museum, Bloomsbury",76,51,-25,51.51908,-0.124678
"Broadcasting House, Marylebone",56.5,39,-17.5,51.518117,-0.144228
"Broadley Terrace, Marylebone",23.75,21,-2.75,51.524561,-0.165668
"Broadwick Street, Soho",73,78,5,51.513684,-0.13558
"Bromley High Street, Bow",33.5,34,0.5,51.528828,-0.013258
"Brook Green South, Brook Green",39.5,52,12.5,51.494347,-0.215804
"Broomhouse Lane, Parsons Green",23.75,23,-0.75,51.468418,-0.199135
"Brunswick Square, Bloomsbury",53.5,46,-7.5,51.523951,-0.122502
"Brushfield Street, Liverpool Street",164.5,145,-19.5,51.518908,-0.079249
"Bruton Street, Mayfair",43.75,31,-12.75,51.510736,-0.144165
"Buckingham Gate, Westminster",73.75,52,-21.75,51.498865,-0.137424
"Bunhill Row, Moorgate",86,73,-13,51.520858,-0.089887
"Burdett Road, Mile End",59.25,46,-13.25,51.516196,-0.029138
"Bury Place, Holborn",47.25,41,-6.25,51.51746,-0.12335
"Butler Place, Westminster",55.75,41,-14.75,51.497829,-0.13544
"Buxton Street 1, Shoreditch",19.25,26,6.75,51.521776,-0.068856
"Cadogan Close, Victoria Park",47,25,-22,51.542118,-0.028941
"Cadogan Gardens, Chelsea",67.5,59,-8.5,51.492462,-0.159919
"Cadogan Place, Knightsbridge",53,48,-5,51.494645,-0.158105
"Caldwell Street, Stockwell",55.75,54,-1.75,51.477839,-0.116493
"Calshot Street , King's Cross",17.75,12,-5.75,51.53136,-0.117069
"Campden Hill Road, Notting Hill",13,12,-1,51.506584,-0.199004
"Canada Water Station, Rotherhithe",49.75,45,-4.75,51.498439,-0.04915
"Canton Street, Poplar",24,30,6,51.511811,-0.025626
"Cantrell Road, Bow",18.25,18,-0.25,51.521564,-0.022694
"Carey Street, Holborn",25.75,16,-9.75,51.51501,-0.112753
"Carnegie Street, King's Cross",22,23,1,51.535467,-0.116191
"Cartwright Gardens , Bloomsbury",31.5,27,-4.5,51.526357,-0.125979
"Castlehaven Road, Camden Town",73.25,50,-23.25,51.542138,-0.145393
"Central House, Aldgate",76.5,49,-27.5,51.515231,-0.07015
"Cephas Street, Bethnal Green",41.25,42,0.75,51.522561,-0.054883
"Chadwell Street, Angel",52.25,42,-10.25,51.530515,-0.106408
"Chancery Lane, Holborn",35.75,27,-8.75,51.514274,-0.111257
"Chapel Place, Marylebone",74.5,52,-22.5,51.515308,-0.147203
"Charing Cross Hospital, Hammersmith",33.25,38,4.75,51.487285,-0.217995
"Charlbert Street, St. John's Wood",31,32,1,51.5343,-0.168074
"Charles II Street, West End",69.5,60,-9.5,51.508446,-0.131961
"Charlotte Street, Fitzrovia",49.25,49,-0.25,51.51953,-0.135777
"Charlotte Terrace, Angel",33,22,-11,51.536392,-0.112721
"Cheapside, Bank",166.5,164,-2.5,51.51397,-0.09294
"Chelsea Bridge, Pimlico",66.25,48,-18.25,51.485821,-0.149004
"Chelsea Green, Chelsea",49.75,45,-4.75,51.490664,-0.166485
"Chepstow Villas, Notting Hill",25.75,23,-2.75,51.512136,-0.201554
"Cheshire Street, Bethnal Green",31.25,28,-3.25,51.52388,-0.065076
"Chesilton Road, Fulham",47.25,45,-2.25,51.475698,-0.205876
"Chrisp Street Market, Poplar",29.75,29,-0.75,51.5112,-0.014438
"Christopher Street, Liverpool Street",55.25,45,-10.25,51.521283,-0.084605
"City Road, Angel",37.75,35,-2.75,51.530344,-0.100168
"Clapham Common North Side, Clapham Common",37.25,18,-19.25,51.461343,-0.159322
"Clapham Common Station, Clapham Common",84,68,-16,51.461388,-0.139221
"Clapham Road, Lingham Street, Stockwell",22.75,29,6.25,51.471433,-0.12367
"Claremont Square, Angel",25.75,15,-10.75,51.531666,-0.109914
"Clarence Walk, Stockwell",23,24,1,51.470732,-0.126994
"Clarendon Road, Avondale",19.5,17,-2.5,51.51323,-0.211593
"Clarges Street, Mayfair",27.25,24,-3.25,51.507326,-0.145827
"Clarkson Street, Bethnal Green",23.5,18,-5.5,51.528692,-0.059091
"Claverton Street, Pimlico",49,60,11,51.484839,-0.138089
"Cleaver Street, Kennington",24,24,0,51.488105,-0.110121
"Clerkenwell Green, Clerkenwell",83.25,54,-29.25,51.52326,-0.104708
"Cleveland Gardens, Bayswater",26.25,22,-4.25,51.515607,-0.183118
"Cleveland Way, Stepney",103.5,97,-6.5,51.520893,-0.051394
"Clifford Street, Mayfair",40.25,42,1.75,51.510662,-0.142345
"Clifton Road, Maida Vale",37,34,-3,51.525575,-0.179592
"Clifton Street, Shoreditch",38.25,35,-3.25,51.523196,-0.083067
"Clinton Road, Mile End",43.5,36,-7.5,51.525941,-0.036017
"Cloudesley Road, Angel",28,26,-2,51.534408,-0.109025
"Colet Gardens, Hammersmith",6,8,2,51.491093,-0.216493
