EndStation Name,Average Count,Count,Count Change,Latitude,Longitude
"Knaresborough Place, Earl's Court",40,47,7,51.493631,-0.190603
"Knightsbridge, Hyde Park",27.75,22,-5.75,51.502757,-0.155349
"LMU Commercial Road, Whitechapel",65,72,7,51.514924,-0.066078
"LSBU (Borough Road), Elephant & Castle",38.25,43,4.75,51.498744,-0.103132
"Ladbroke Grove Central, Ladbroke Grove",8,6,-2,51.511624,-0.205921
"Lambeth North Station, Waterloo",36.5,28,-8.5,51.49914,-0.112031
"Lambeth Palace Road, Waterloo",118.5,91,-27.5,51.500089,-0.116628
"Lambeth Road, Vauxhall",40.25,41,0.75,51.494881,-0.117974
"Lancaster Drive, Blackwall",13.5,8,-5.5,51.503143,-0.008428
"Lancaster Gate , Bayswater",47.5,50,2.5,51.511654,-0.179668
"Langdon Park, Poplar",10.25,4,-6.25,51.51549,-0.013475
"Lansdowne Drive, Hackney Central",35.25,48,12.75,51.539834,-0.062806
"Lansdowne Road, Ladbroke Grove",45.75,41,-4.75,51.507481,-0.205535
"Lansdowne Walk, Ladbroke Grove",13.25,9,-4.25,51.509591,-0.204666
"Lavington Street, Bankside",50.75,53,2.25,51.505224,-0.098031
"Leman Street, Aldgate",91.75,84,-7.75,51.512363,-0.069542
"Leonard Circus , Shoreditch",95.25,60,-35.25,51.524696,-0.084439
"Lexham Gardens, Kensington",50.75,36,-14.75,51.495866,-0.191933
"Lightermans Road, Millwall",25.5,35,9.5,51.499041,-0.020157
"Limburg Road, Clapham Junction",14,11,-3,51.461923,-0.165297
"Limerston Street, West Chelsea",114.25,108,-6.25,51.485587,-0.18119
"Lincoln's Inn Fields, Holborn",39,37,-2,51.516277,-0.118272
"Lisson Grove, St. John's Wood",20.5,13,-7.5,51.526448,-0.17219
"Little Argyll Street, West End",161.25,149,-12.25,51.514499,-0.141423
"Little Brook Green, Brook Green",33.5,48,14.5,51.496664,-0.223868
"Liverpool Road (N1 Centre), Angel",71,58,-13,51.534504,-0.106992
"Lollard Street, Vauxhall",56.5,43,-13.5,51.49288,-0.114934
"London Fields, Hackney Central",124,137,13,51.54119,-0.058826
"London Street, Paddington",84.5,72,-12.5,51.515117,-0.173712
"London Zoo Car Park, The Regent's Park",30.25,21,-9.25,51.536922,-0.150181
"London Zoo,  The Regent's Park",26.5,11,-15.5,51.535836,-0.156285
"Long Lane , Bermondsey",55.5,32,-23.5,51.499075,-0.085666
"Longford Street, The Regent's Park",13.5,19,5.5,51.525595,-0.144083
"Lord's, St. John's Wood",13,13,0,51.529121,-0.171185
"Lots Road, West Chelsea",34.25,39,4.75,51.479573,-0.179038
"Lower Marsh, Waterloo",54.25,42,-12.25,51.500139,-0.113936
"Lower Thames Street, Monument",52.75,36,-16.75,51.509301,-0.084985
"Macclesfield Rd, St Lukes",62.25,49,-13.25,51.529423,-0.097122
"Maida Vale, Maida Vale",62.25,58,-4.25,51.529857,-0.183486
"Malet Street, Bloomsbury",74.5,66,-8.5,51.52168,-0.130431
"Mallory Street, Marylebone",17.5,13,-4.5,51.525051,-0.166304
"Malmesbury Road, Bow",8.75,10,1.25,51.529452,-0.027616
"Manbre Road, Hammersmith",22.75,19,-3.75,51.485743,-0.223616
"Manresa Road, Chelsea",46,40,-6,51.486892,-0.170983
"Maplin Street, Mile End",83.75,71,-12.75,51.525501,-0.032267
"Margery Street, Clerkenwell",33.75,32,-1.75,51.526599,-0.112432
"Marloes Road, Kensington",26.25,17,-9.25,51.496481,-0.192404
"Marylebone Lane, Marylebone",73.75,72,-1.75,51.514759,-0.148105
"Merchant Street, Bow",21.75,11,-10.75,51.526578,-0.027581
"Mexfield Road, East Putney",10.75,11,0.25,51.45682,-0.202802
"Michael Road, Walham Green",30.75,37,6.25,51.477276,-0.18921
"Mile End Park Leisure Centre, Mile End",36.75,65,28.25,51.520597,-0.032566
"Mile End Stadium, Mile End",46,29,-17,51.518541,-0.034903
"Millbank Tower, Pimlico",58.25,56,-2.25,51.491884,-0.125674
"Millharbour, Millwall",16.25,9,-7.25,51.496137,-0.019355
"Milroy Walk, South Bank",54.5,48,-6.5,51.507244,-0.106237
"Monier Road, Hackney Wick",52.5,51,-1.5,51.540311,-0.02163
"Montpelier Street, Knightsbridge",71.25,72,0.75,51.498884,-0.165471
"Montserrat Road , Putney",17.25,19,1.75,51.463211,-0.21555
"Monument Street, Monument",79,67,-12,51.50964,-0.08497
"Moor Street, Soho",115.5,96,-19.5,51.513527,-0.13011
"Moorfields, Moorgate",78.25,92,13.75,51.519069,-0.088285
"Morie Street, Wandsworth",19.25,25,5.75,51.459953,-0.190184
"Mostyn Grove, Bow",29.75,29,-0.75,51.530535,-0.025492
"Mudchute DLR, Cubitt Town",9.75,5,-4.75,51.490645,-0.014582
"Murray Grove , Hoxton",38.75,41,2.25,51.53089,-0.089782
"Museum of London, Barbican",89.5,83,-6.5,51.517821,-0.096496
"Nantes Close, Wandsworth",20.25,9,-11.25,51.46193,-0.180791
"Napier Avenue, Millwall",13.25,16,2.75,51.487679,-0.021582
"Natural History Museum, South Kensington",57.25,43,-14.25,51.495592,-0.179077
"Naval Row, Blackwall",22.25,19,-3.25,51.508981,-0.00699
"Nesham Street, Wapping",84.75,74,-10.75,51.507131,-0.06691
"Nevern Place, Earl's Court",24.25,32,7.75,51.493343,-0.194757
"Neville Gill Close, Wandsworth",29,17,-12,51.454752,-0.195197
"New Cavendish Street, Marylebone",67.5,58,-9.5,51.519167,-0.147983
"New Fetter Lane, Holborn",62.5,41,-21.5,51.517428,-0.107987
"New Globe Walk, Bankside",44.25,33,-11.25,51.507385,-0.09644
"New Inn Yard, Shoreditch",64.25,61,-3.25,51.524526,-0.079248
"New Kent Road, The Borough",40.25,50,9.75,51.494436,-0.092921
"New North Road 2, Hoxton",15.75,22,6.25,51.53114,-0.086016
"New Road 1 , Whitechapel",71.5,68,-3.5,51.518154,-0.062697
"New Spring Gardens Walk, Vauxhall",38.75,30,-8.75,51.487807,-0.122759
"Newby Place, Poplar",11,13,2,51.508896,-0.012413
"Newgate Street , St. Paul's",111.5,104,-7.5,51.515418,-0.09885
"Newton Street, Covent Garden",39,20,-19,51.516128,-0.120909
"Normand Park, West Kensington",66.75,66,-0.75,51.484386,-0.204815
"Normandy Road, Stockwell",50.5,35,-15.5,51.473874,-0.11258
"North Audley Street, Mayfair",67.25,66,-1.25,51.512911,-0.153645
"North Wharf Road, Paddington",59,35,-24,51.518622,-0.176645
"Northdown Street, King's Cross",30.25,20,-10.25,51.531066,-0.11934
"Northfields, Wandsworth",15.25,15,-0.25,51.460951,-0.200667
"Northington Street , Holborn",55.75,41,-14.75,51.522264,-0.114079
"Northumberland Avenue, Strand",96.75,55,-41.75,51.506767,-0.123702
"Norton Folgate, Liverpool Street",52,45,-7,51.521113,-0.078869
"Notting Hill Gate Station, Notting Hill",81.75,79,-2.75,51.509353,-0.196422
"Nutford Place, Marylebone",36.25,41,4.75,51.516517,-0.164393
"Old Brompton Road, South Kensington",56.5,63,6.5,51.490945,-0.18119
"Old Ford Road, Bethnal Green",31,25,-6,51.531127,-0.048017
"Old Montague Street, Whitechapel",53.75,39,-14.75,51.51793,-0.067937
"Old Quebec Street, Marylebone",121.5,100,-21.5,51.514577,-0.158264
"Old Street Station, St. Luke's",109,115,6,51.52548,-0.089659
"Ontario Street, Elephant & Castle",46.25,45,-1.25,51.49652,-0.101384
"Orbel Street, Battersea",31,26,-5,51.474535,-0.17021
"Ormonde Gate, Chelsea",40.75,44,3.25,51.487964,-0.161765
"Orsett Terrace, Bayswater",12,14,2,51.517932,-0.183716
"Osiers Road, Wandsworth",36.5,33,-3.5,51.46067,-0.198735
"Ossulston Street, Somers Town",60,39,-21,51.5293,-0.128279
"Oxford Road, Putney",10,10,0,51.460792,-0.212607
"Paddington Green, Paddington",8.25,12,3.75,51.520205,-0.174593
"Page Street, Westminster",83.75,57,-26.75,51.493978,-0.127554
"Palace Gardens Terrace, Notting Hill",56.5,37,-19.5,51.508605,-0.193764
"Palace Gate, Kensington Gardens",116.75,70,-46.75,51.502042,-0.1844
"Palissy Street, Shoreditch",35.75,30,-5.75,51.526293,-0.073955
"Pall Mall East, West End",100.75,87,-13.75,51.50777,-0.130699
"Pancras Road, King's Cross",39.5,31,-8.5,51.534123,-0.129386
"Panton Street, West End",107.75,92,-15.75,51.509639,-0.13151
"Park Lane , Hyde Park",145.25,32,-113.25,51.510017,-0.157275
"Park Lane, Mayfair",35,30,-5,51.505426,-0.150817
"Park Road (Baker Street), The Regent's Park",79,68,-11,51.524517,-0.158963
"Park Street, Bankside",45.5,38,-7.5,51.505974,-0.092754
"Parkway, Camden Town",40.25,29,-11.25,51.538071,-0.144664
"Parson's Green , Parson's Green",57.75,47,-10.75,51.472817,-0.199783
"Parsons Green Station, Parsons Green",66.75,61,-5.75,51.475089,-0.201968
"Pembridge Villas, Notting Hill",31.5,26,-5.5,51.511084,-0.197524
"Penfold Street, Marylebone",10.25,13,2.75,51.522892,-0.171681
"Penywern Road, Earl's Court",64.5,67,2.5,51.491593,-0.192369
"Percival Street, Finsbury",30.5,28,-2.5,51.526153,-0.102208
"Peterborough Road, Sands End",15.25,17,1.75,51.46904,-0.196274
"Phene Street, Chelsea",62.5,56,-6.5,51.484984,-0.167919
"Phillimore Gardens, Kensington",68.5,68,-0.5,51.499606,-0.197574
"Philpot Street, Whitechapel",46.25,41,-5.25,51.515256,-0.058641
"Pindar Street, Liverpool Street",37.75,30,-7.75,51.520955,-0.083493
"Pitfield Street Central, Hoxton",29.25,31,1.75,51.53213,-0.08299
"Pitfield Street North,Hoxton",88.5,93,4.5,51.53558,-0.08249
"Plough Terrace, Clapham Junction",22,18,-4,51.462305,-0.175407
"Podium, Queen Elizabeth Olympic Park",55.75,43,-12.75,51.538718,-0.011889
"Pont Street, Knightsbridge",60.5,55,-5.5,51.496886,-0.161203
"Porchester Place, Paddington",80.25,80,-0.25,51.514746,-0.165164
"Portland Place, Marylebone",55.25,49,-6.25,51.520715,-0.145211
"Portman Square, Marylebone",58.5,56,-2.5,51.516204,-0.155525
"Pott Street, Bethnal Green",60.75,51,-9.75,51.527152,-0.058005
"Poured Lines, Bankside",36.75,26,-10.75,51.506692,-0.103137
"Preston's Road, Cubitt Town",20.75,9,-11.75,51.499286,-0.009152
"Prince Albert Road, The Regent's Park",47.5,37,-10.5,51.535892,-0.160854
"Prince Consort Road, Knightsbridge",29.5,34,4.5,51.499806,-0.176415
"Prince of Wales Drive, Battersea Park",52.75,49,-3.75,51.475153,-0.159169
"Princedale Road , Holland Park",30,34,4,51.506465,-0.208486
"Princes Square, Bayswater",26.25,32,5.75,51.513489,-0.191351
"Pritchard's Road, Bethnal Green",71,67,-4,51.532091,-0.06142
"Putney Bridge Road, East Putney",16.25,22,5.75,51.461999,-0.20624
"Putney Bridge Station, Fulham",31,23,-8,51.468814,-0.210279
"Putney Pier, Wandsworth",37,33,-4,51.466907,-0.216573
"Putney Rail Station, Putney",17.75,11,-6.75,51.460717,-0.216526
"Queen Mary's, Mile End",48.25,40,-8.25,51.522507,-0.041378
"Queen Mother Sports Centre, Victoria",73.25,75,1.75,51.493573,-0.139956
"Queen Street 1, Bank",150.75,148,-2.75,51.511553,-0.09294
"Queen Street 2, Bank",226,147,-79,51.511246,-0.093051
"Queen Victoria Street, St. Paul's",79,60,-19,51.511961,-0.097441
"Queen's Circus, Battersea Park",81,65,-16,51.477619,-0.149551
"Queen's Gate (Central), South Kensington",33.25,34,0.75,51.493967,-0.178732
"Queen's Gate (North), Kensington",60.25,46,-14.25,51.501026,-0.180246
"Queen's Gate (South), South Kensington",66.75,43,-23.75,51.492479,-0.178433
"Queen's Gate, Kensington Gardens",118.5,91,-27.5,51.501715,-0.179854
"Queensbridge Road, Haggerston",30,17,-13,51.53385,-0.06992
"Queensdale Road, Shepherd's Bush",20.25,23,2.75,51.50659,-0.216104
"Queensway, Kensington Gardens",114,67,-47,51.51031,-0.187402
"Rainville Road, Hammersmith",33,29,-4,51.483732,-0.223852
"Ram Street, Wandsworth",58,42,-16,51.457529,-0.192165
"Rampayne Street, Pimlico",60.25,64,3.75,51.489975,-0.132845
"Ranelagh Gardens, Fulham",26.75,22,-4.75,51.467601,-0.206827
"Rathbone Street, Fitzrovia",41,34,-7,51.518162,-0.135025
"Ravenscourt Park Station, Hammersmith",45.75,46,0.25,51.494223,-0.236769
"Reardon Street, Wapping",43.25,41,-2.25,51.506946,-0.058681
"Rectory Square, Stepney",27.75,35,7.25,51.518369,-0.043371
"Red Lion Square, Holborn",35.75,30,-5.75,51.519435,-0.119123
"Red Lion Street, Holborn",70.25,51,-19.25,51.51824,-0.11655
"Regency Street, Westminster",44,36,-8,51.49206,-0.132224
"Richmond Way, Shepherd's Bush",43,32,-11,51.500353,-0.217515
"Rifle Place, Avondale",15,23,8,51.509224,-0.216016
"Risinghill Street, Angel",15.75,12,-3.75,51.533319,-0.111781
"River Street , Clerkenwell",17,9,-8,51.529163,-0.10997
"Riverlight North, Nine Elms",76,84,8,51.482362,-0.136123
"Riverlight South, Nine Elms",59,46,-13,51.481335,-0.138212
"Rochester Row, Westminster",39.25,38,-1.25,51.495827,-0.135478
"Rodney Road , Walworth",47,41,-6,51.491484,-0.09022
"Roscoe Street, St. Luke's",36.75,48,11.25,51.522954,-0.094934
"Rotherhithe Roundabout, Rotherhithe",34.5,29,-5.5,51.499169,-0.055846
"Royal Avenue 1, Chelsea",29.75,26,-3.75,51.489932,-0.162727
"Royal Avenue 2, Chelsea",49.75,55,5.25,51.490083,-0.162418
"Royal College Street, Camden Town",34.5,27,-7.5,51.536264,-0.133952
"Royal London Hospital, Whitechapel",99.5,90,-9.5,51.518675,-0.06111
"Russell Gardens, Olympia",22.5,20,-2.5,51.500088,-0.211316
"Russell Square Station, Bloomsbury",67,56,-11,51.523418,-0.124121
"Sackville Street, Mayfair",62.5,57,-5.5,51.510048,-0.138846
"Sadlers Sports Centre, Finsbury",54.5,40,-14.5,51.524868,-0.099489
"Sail Street, Vauxhall",27.25,28,0.75,51.495656,-0.114605
"Salmon Lane, Limehouse",45.25,39,-6.25,51.514115,-0.033828
"Saltoun Road, Brixton",52.5,29,-23.5,51.460232,-0.115375
"Sancroft Street, Vauxhall",27.75,24,-3.75,51.489479,-0.115156
"Sandilands Road, Walham Green",46.25,45,-1.25,51.473611,-0.191803
"Santos Road, Wandsworth",8,15,7,51.457059,-0.200806
"Sardinia Street, Holborn",35.5,38,2.5,51.515208,-0.117863
"Saunders Ness Road, Cubitt Town",31.5,16,-15.5,51.487129,-0.009001
"Scala Street, Fitzrovia",52.25,39,-13.25,51.519914,-0.136039
"Sea Containers, South Bank",86.5,80,-6.5,51.508033,-0.106823
"Sedding Street, Sloane Square",99.75,87,-12.75,51.49313,-0.156876
"Selby Street, Whitechapel",36,27,-9,51.521905,-0.063386
"Serpentine Car Park, Hyde Park",187.75,99,-88.75,51.505014,-0.17306
"Seville Street, Knightsbridge",67.66666667,100,32.33333333,51.501855,-0.159237
"Seymour Place, Marylebone",40.5,27,-13.5,51.520331,-0.163667
"Shadwell Station, Shadwell",49.5,48,-1.5,51.511088,-0.057159
"Sheepcote Lane, Battersea",33.5,20,-13.5,51.470538,-0.163041
"Shepherd's Bush Road North, Shepherd's Bush",44,53,9,51.501594,-0.222293
"Shoreditch Court, Haggerston",37.5,31,-6.5,51.539083,-0.070329
"Shoreditch High Street, Shoreditch",106.75,78,-28.75,51.526377,-0.07813
"Shoreditch Park, Hoxton",49.5,52,2.5,51.534042,-0.086379
"Shouldham Street, Marylebone",50,34,-16,51.51809,-0.163609
"Sidney Road, Stockwell",32.5,29,-3.5,51.469202,-0.119022
"Silverthorne Road, Battersea",36.25,32,-4.25,51.472865,-0.148059
"Simpson Street, Clapham Junction",62.5,59,-3.5,51.470847,-0.170703
"Sirdar Road, Avondale",10,18,8,51.510928,-0.214594
"Sloane Avenue, Knightsbridge",93.5,86,-7.5,51.493184,-0.167894
"Smith Square, Westminster",58.25,50,-8.25,51.495805,-0.127575
"Smugglers Way, Wandsworth",28,22,-6,51.461083,-0.191722
"Snow Hill, Farringdon",45.25,38,-7.25,51.517334,-0.103604
"Snowsfields, London Bridge",79.5,72,-7.5,51.502153,-0.083632
"Soho Square , Soho",170.25,125,-45.25,51.515631,-0.132328
"Somerset House, Strand",85.5,77,-8.5,51.509943,-0.117619
"Sopwith Way, Battersea Park",68.25,67,-1.25,51.481121,-0.149035
"South Audley Street, Mayfair",28.25,26,-2.25,51.50923,-0.151289
"South Kensington Station, South Kensington",99,107,8,51.494412,-0.173881
"South Lambeth Road, Vauxhall",65.75,61,-4.75,51.481747,-0.124642
"South Parade, Chelsea",41.75,36,-5.75,51.48902,-0.17524
"South Park, Sands End",35.25,20,-15.25,51.467064,-0.193502
"South Quay East, Canary Wharf",11,10,-1,51.50196,-0.016251
"South Wharf Road, Paddington",72.25,46,-26.25,51.517335,-0.17581
"Southampton Place, Holborn",50.75,47,-3.75,51.517606,-0.121328
"Southampton Street, Strand",72.25,38,-34.25,51.510701,-0.121723
"Southern Grove, Bow",26.5,27,0.5,51.523538,-0.030556
"Southerton Road, Hammersmith",49.25,37,-12.25,51.494499,-0.228188
"Southwark Station 1, Southwark",62.75,40,-22.75,51.504043,-0.105312
"Southwark Station 2, Southwark",39.75,29,-10.75,51.504044,-0.104778
"Southwark Street, Bankside",33.75,33,-0.75,51.505409,-0.098341
"Southwick Street, Paddington",32.75,38,5.25,51.515953,-0.169249
"Spanish Road, Clapham Junction",12,10,-2,51.459225,-0.180884
"Spencer Park, Wandsworth Common",9.25,13,3.75,51.45787,-0.174691
"Spindrift Avenue, Millwall",20.5,14,-6.5,51.49109,-0.018716
"St John's Crescent, Brixton",18.75,17,-1.75,51.466232,-0.113179
"St Martins Close, Camden Town",14.75,14,-0.75,51.538792,-0.138535
"St Mary's Hospital, Paddington",83.5,55,-28.5,51.518268,-0.171103
"St. Bride Street, Holborn",92.5,74,-18.5,51.515059,-0.105344
"St. Chad's Street, King's Cross",31.75,33,1.25,51.530059,-0.120973
"St. George Street, Mayfair",61.75,64,2.25,51.51196,-0.142783
"St. George's Square, Pimlico",58,18,-40,51.488226,-0.135635
"St. James's Square, St. James's",221.75,164,-57.75,51.507424,-0.134621
"St. John Street, Finsbury",23.25,24,0.75,51.52836,-0.104724
"St. John's Park, Cubitt Town",12.75,15,2.25,51.496454,-0.009506
"St. John's Road, Clapham Junction",48.75,44,-4.75,51.462392,-0.168292
"St. John's Wood Church, The Regent's Park",32.25,33,0.75,51.530529,-0.167515
"St. John's Wood Road, St. John's Wood",26.25,28,1.75,51.527294,-0.174653
"St. Katharine's Way, Tower",55.75,32,-23.75,51.505697,-0.070542
"St. Luke's Church, Chelsea",54,38,-16,51.489716,-0.170194
"St. Mark's Road, North Kensington",29.25,38,8.75,51.51687,-0.213872
"St. Martin's Street, West End",45,43,-2,51.509087,-0.129697
"St. Mary & St. Michael Church, Stepney",13.25,17,3.75,51.51417,-0.052099
"St. Mary Axe, Aldgate",50.25,55,4.75,51.514225,-0.08066
"St. Peter's Terrace, Fulham",43.5,34,-9.5,51.478939,-0.208485
"Stamford Street, South Bank",54.5,37,-17.5,51.505569,-0.111606
"Stanhope Gate, Mayfair",31.5,32,0.5,51.506864,-0.150666
"Stanley Grove, Battersea",24.75,27,2.25,51.470475,-0.15213
"Star Road, West Kensington",35,29,-6,51.487244,-0.205279
"Stebondale Street, Cubitt Town",18.25,18,-0.25,51.489096,-0.009205
"Stephendale Road, Sands End",62.5,57,-5.5,51.46822,-0.190346
"Stepney Green Station, Stepney",69.75,69,-0.75,51.521889,-0.04667
"Stewart's Road, Wandsworth Road",23.25,24,0.75,51.473116,-0.137235
"Store Street, Bloomsbury",66.5,42,-24.5,51.519572,-0.13214
"Strand, Strand",66.5,54,-12.5,51.512582,-0.115057
"Strata, Elephant & Castle",106.5,95,-11.5,51.493146,-0.099828
"Stratford Station, Stratford",57.5,44,-13.5,51.541793,-0.00481
"Sugden Road, Clapham",34,34,0,51.465123,-0.157788
"Sumner Place, South Kensington",41.25,29,-12.25,51.491211,-0.173715
"Sun Street, Liverpool Street",60.25,54,-6.25,51.520009,-0.083935
"Surrey Lane, Battersea",37.5,43,5.5,51.47518,-0.16716
"Sutton Street, Shadwell",81.25,55,-26.25,51.511066,-0.053558
"Swan Street, The Borough",44,40,-4,51.500296,-0.092762
"Tachbrook Street, Victoria",50.75,38,-12.75,51.492111,-0.138364
"Tallis Street, Temple",49,32,-17,51.511891,-0.107349
"Tanner Street, Bermondsey",59.5,58,-1.5,51.500647,-0.0786
"Tate Modern, Bankside",63,47,-16,51.506725,-0.098807
"Tavistock Place, Bloomsbury",42,27,-15,51.52625,-0.123509
"Tavistock Street, Covent Garden",83,55,-28,51.511968,-0.120718
"Taviton Street, Bloomsbury",54.25,43,-11.25,51.52505,-0.131161
"Temple Gardens, Temple",79.25,59,-20.25,51.510981,-0.108322
"Teversham Lane, Stockwell",28,25,-3,51.476149,-0.123258
"Teviot Street, Poplar",6.75,11,4.25,51.518811,-0.011662
"The Guildhall, Guildhall",39,24,-15,51.515735,-0.09308
"The Metropolitan, Portobello",35.25,36,0.75,51.520509,-0.200804
"The Tennis Courts, The Regent's Park",54.75,44,-10.75,51.525367,-0.153463
"The Vale, Chelsea",64.25,54,-10.25,51.485121,-0.174971
"Theobald's Road , Holborn",62.25,55,-7.25,51.520596,-0.116688
"Thorndike Close, West Chelsea",30.5,34,3.5,51.480898,-0.183853
"Timber Lodge, Queen Elizabeth Olympic Park",49.5,46,-3.5,51.546805,-0.014691
"Tooley Street, Bermondsey",157.5,149,-8.5,51.503493,-0.07962
"Torrens Street, Angel",28,18,-10,51.532199,-0.10548
"Tower Gardens , Tower",128.25,110,-18.25,51.509506,-0.075459
"Tower Wharf, Bermondsey",57,47,-10,51.500845,-0.074704
"Trebovir Road, Earl's Court",44,53,9,51.490853,-0.19617
"Triangle Car Park, Hyde Park",177,105,-72,51.506451,-0.170279
"Turquoise Island, Notting Hill",49.75,51,1.25,51.514311,-0.200838
"Twig Folly Bridge, Mile End",57.25,51,-6.25,51.530326,-0.042744
"Tyers Gate, Bermondsey",45.25,41,-4.25,51.500889,-0.083159
"Tysoe Street, Clerkenwell",70.25,72,1.75,51.526443,-0.109256
"Union Grove, Wandsworth Road",44.25,40,-4.25,51.472993,-0.133972
"Union Street, The Borough",49.5,34,-15.5,51.503688,-0.098497
"Upcerne Road, West Chelsea",48.5,33,-15.5,51.478169,-0.182435
"Upper Bank Street, Canary Wharf",76.25,44,-32.25,51.503083,-0.017676
"Upper Grosvenor Street, Mayfair",20,26,6,51.51013,-0.155757
"Upper Richmond Road, Putney",15.5,12,-3.5,51.459715,-0.212145
"Usk Road, Clapham Junction",39.25,40,0.75,51.463489,-0.182126
"Vauxhall Bridge , Pimlico",36.75,32,-4.75,51.488365,-0.129361
"Vauxhall Cross, Vauxhall",121.5,125,3.5,51.485917,-0.124469
"Vauxhall Street, Vauxhall",45.75,51,5.25,51.486965,-0.116625
"Vauxhall Walk, Vauxhall",35.25,28,-7.25,51.488124,-0.120903
"Vereker Road, West Kensington",49.75,49,-0.75,51.489591,-0.209378
"Vicarage Crescent, Battersea",56.25,59,2.75,51.472876,-0.176267
"Vicarage Gate, Kensington",21.5,21,-0.5,51.504723,-0.192538
"Victoria & Albert Museum, South Kensington",30.5,19,-11.5,51.495898,-0.173009
"Victoria Park Road, Hackney Central",54.5,53,-1.5,51.536424,-0.054162
"Victoria Rise, Clapham Common",42,49,7,51.461376,-0.147804
"Victory Place, Walworth",33.75,30,-3.75,51.492807,-0.091938
"Vincent Square, Westminster",28.75,26,-2.75,51.493985,-0.136928
"Vincent Street, Pimlico",44.25,27,-17.25,51.493072,-0.129925
"Walmer Road, Avondale",18,8,-10,51.510101,-0.211358
"Walnut Tree Walk, Vauxhall",45.75,36,-9.75,51.493686,-0.111014
"Walworth Square, Walworth",64.25,32,-32.25,51.491327,-0.096518
"Wandsworth Rd, Isley Court, Wandsworth Road",34.75,36,1.25,51.469259,-0.141812
"Wandsworth Town Station, Wandsworth",46.5,28,-18.5,51.460864,-0.187427
"Wapping High Street, Wapping",39.25,29,-10.25,51.504904,-0.06797
"Wapping Lane, Wapping",60.75,49,-11.75,51.504749,-0.057544
"Wardour Street, Soho",106,92,-14,51.512515,-0.133201
"Warren Street Station, Euston",113.75,104,-9.75,51.524438,-0.138019
"Warwick Avenue Station, Maida Vale",63.75,41,-22.75,51.523344,-0.183846
"Warwick Road, Olympia",72.75,63,-9.75,51.496712,-0.205284
"Warwick Row, Westminster",99.75,107,7.25,51.497998,-0.14296
"Warwick Square, Pimlico",43.5,42,-1.5,51.489856,-0.141923
"Waterloo Bridge, South Bank",34.75,16,-18.75,51.505354,-0.113656
"Waterloo Place, St. James's",55.75,30,-25.75,51.506633,-0.131773
"Waterloo Road, South Bank",39.75,31,-8.75,51.50486,-0.113001
"Waterloo Station 1, Waterloo",213.5,120,-93.5,51.504027,-0.113864
"Waterloo Station 2, Waterloo",99,52,-47,51.503919,-0.113426
"Waterloo Station 3, Waterloo",245.75,134,-111.75,51.503791,-0.112824
"Watney Market, Stepney",37.75,39,1.25,51.514222,-0.055656
"Watney Street, Shadwell",51.5,64,12.5,51.511542,-0.056667
"Webber Street , Southwark",53.75,41,-12.75,51.500693,-0.102091
"Wellington Arch, Hyde Park",184.25,154,-30.25,51.50274,-0.149569
"Wellington Road, St. John's Wood",36,35,-1,51.533043,-0.172528
"Wellington Row, Bethnal Green",34.25,40,5.75,51.528222,-0.069743
"Wellington Street , Strand",91,78,-13,51.511756,-0.119643
"Wells Street, Fitzrovia",93.5,72,-21.5,51.517344,-0.138072
"Wendon Street, Old Ford",31.25,32,0.75,51.536039,-0.026262
"Wenlock Road , Hoxton",57.75,64,6.25,51.530991,-0.093903
"West Cromwell Road, Earl's Court",41,40,-1,51.493724,-0.198286
"West Kensington Station, West Kensington",40.5,32,-8.5,51.49087,-0.206029
"West Smithfield Rotunda, Farringdon",72.25,55,-17.25,51.518218,-0.100791
"Westbourne Grove, Bayswater",46.75,46,-0.75,51.515529,-0.19024
"Westbourne Park Road, Portobello",31.5,17,-14.5,51.51787,-0.201005
"Westbridge Road, Battersea",80.5,62,-18.5,51.477684,-0.170329
"Westferry Circus, Canary Wharf",75,87,12,51.505703,-0.027772
"Westferry DLR, Limehouse",70,70,0,51.509303,-0.025996
"Westfield Ariel Way, White City",67,70,3,51.509158,-0.224103
"Westfield Southern Terrace ,Shepherd's Bush",33.75,41,7.25,51.506256,-0.218337
"Westminster Bridge Road, Elephant & Castle",7,9,2,51.498386,-0.107913
"Westminster Pier, Westminster",156.25,132,-24.25,51.501513,-0.123823
"Westminster University, Marylebone",40.5,13,-27.5,51.522481,-0.154907
"Whiston Road, Haggerston",24.25,25,0.75,51.534464,-0.076341
"Whitehall Place, Strand",172.25,110,-62.25,51.506543,-0.123179
"William IV Street, Strand",109.25,81,-28.25,51.509462,-0.124749
"William Morris Way, Sands End",44,37,-7,51.468819,-0.184318
"Windsor Terrace, Hoxton",35,8,-27,51.529154,-0.093421
"Wood Street, Guildhall",35.5,31,-4.5,51.517008,-0.093885
"Woodstock Grove, Shepherd's Bush",63.5,50,-13.5,51.504038,-0.2174
"Woodstock Street, Mayfair",43,40,-3,51.514105,-0.147301
"World's End Place, West Chelsea",56,58,2,51.481805,-0.180274
"Wormwood Street, Liverpool Street",219,157,-62,51.516154,-0.082422
"Worship Street, Shoreditch",75,67,-8,51.521668,-0.079608
"Wren Street, Holborn",36.25,22,-14.25,51.524564,-0.116279
"Wright's Lane, Kensington",90,65,-25,51.500397,-0.193068
"Wynne Road, Stockwell",22.25,19,-3.25,51.469217,-0.112686
