StartStation Name,Average Count,Count,Count Change,Latitude,Longitude
"Braham Street, Aldgate",105.75,102,-3.75,51.514233,-0.073537
"Bramham Gardens, Earl's Court",71.25,69,-2.25,51.490163,-0.190393
"Breams Buildings, Holborn",43,35,-8,51.515937,-0.111778
"Brick Lane Market, Shoreditch",55,57,2,51.522617,-0.071653
"Bricklayers Arms, Borough",65.75,64,-1.75,51.495061,-0.085814
"Bridge Avenue, Hammersmith",62.25,48,-14.25,51.492084,-0.229116
"British Museum, Bloomsbury",72.75,51,-21.75,51.51908,-0.124678
"Broadcasting House, Marylebone",57.75,39,-18.75,51.518117,-0.144228
"Broadley Terrace, Marylebone",27.5,22,-5.5,51.524561,-0.165668
"Broadwick Street, Soho",64.25,66,1.75,51.513684,-0.13558
"Bromley High Street, Bow",33.25,32,-1.25,51.528828,-0.013258
"Brook Green South, Brook Green",38,34,-4,51.494347,-0.215804
"Broomhouse Lane, Parsons Green",26,20,-6,51.468418,-0.199135
"Brunswick Square, Bloomsbury",61.75,47,-14.75,51.523951,-0.122502
"Brushfield Street, Liverpool Street",140.25,136,-4.25,51.518908,-0.079249
"Bruton Street, Mayfair",43.75,31,-12.75,51.510736,-0.144165
"Buckingham Gate, Westminster",73.5,42,-31.5,51.498865,-0.137424
"Bunhill Row, Moorgate",73.5,58,-15.5,51.520858,-0.089887
"Burdett Road, Mile End",57.5,49,-8.5,51.516196,-0.029138
"Bury Place, Holborn",44.5,39,-5.5,51.51746,-0.12335
"Butler Place, Westminster",54,42,-12,51.497829,-0.13544
"Buxton Street 1, Shoreditch",18.5,24,5.5,51.521776,-0.068856
"Cadogan Close, Victoria Park",48.75,31,-17.75,51.542118,-0.028941
"Cadogan Gardens, Chelsea",68.5,48,-20.5,51.492462,-0.159919
"Cadogan Place, Knightsbridge",40.25,52,11.75,51.494645,-0.158105
"Caldwell Street, Stockwell",52.5,47,-5.5,51.477839,-0.116493
"Calshot Street , King's Cross",21.5,14,-7.5,51.53136,-0.117069
"Campden Hill Road, Notting Hill",16.25,17,0.75,51.506584,-0.199004
"Canada Water Station, Rotherhithe",47,48,1,51.498439,-0.04915
"Canton Street, Poplar",23.66666667,37,13.33333333,51.511811,-0.025626
"Cantrell Road, Bow",21.5,22,0.5,51.521564,-0.022694
"Carey Street, Holborn",26,20,-6,51.51501,-0.112753
"Carnegie Street, King's Cross",31.75,32,0.25,51.535467,-0.116191
"Cartwright Gardens , Bloomsbury",32,33,1,51.526357,-0.125979
"Castlehaven Road, Camden Town",77,56,-21,51.542138,-0.145393
"Central House, Aldgate",74.75,49,-25.75,51.515231,-0.07015
"Cephas Street, Bethnal Green",35.25,47,11.75,51.522561,-0.054883
"Chadwell Street, Angel",58.75,52,-6.75,51.530515,-0.106408
"Chancery Lane, Holborn",33.25,23,-10.25,51.514274,-0.111257
"Chapel Place, Marylebone",60.25,51,-9.25,51.515308,-0.147203
"Charing Cross Hospital, Hammersmith",34.25,31,-3.25,51.487285,-0.217995
"Charlbert Street, St. John's Wood",32.75,34,1.25,51.5343,-0.168074
"Charles II Street, West End",61.75,62,0.25,51.508446,-0.131961
"Charlotte Street, Fitzrovia",50,49,-1,51.51953,-0.135777
"Charlotte Terrace, Angel",29.75,25,-4.75,51.536392,-0.112721
"Cheapside, Bank",147.75,92,-55.75,51.51397,-0.09294
"Chelsea Bridge, Pimlico",64.75,51,-13.75,51.485821,-0.149004
"Chelsea Green, Chelsea",55,44,-11,51.490664,-0.166485
"Chepstow Villas, Notting Hill",34,24,-10,51.512136,-0.201554
"Cheshire Street, Bethnal Green",32.25,41,8.75,51.52388,-0.065076
"Chesilton Road, Fulham",46,45,-1,51.475698,-0.205876
"Chrisp Street Market, Poplar",29.5,31,1.5,51.5112,-0.014438
"Christopher Street, Liverpool Street",49.25,38,-11.25,51.521283,-0.084605
"City Road, Angel",54,45,-9,51.530344,-0.100168
"Clapham Common North Side, Clapham Common",34.25,20,-14.25,51.461343,-0.159322
"Clapham Common Station, Clapham Common",86.25,71,-15.25,51.461388,-0.139221
"Clapham Road, Lingham Street, Stockwell",20.5,29,8.5,51.471433,-0.12367
"Claremont Square, Angel",36,25,-11,51.531666,-0.109914
"Clarence Walk, Stockwell",19.25,29,9.75,51.470732,-0.126994
"Clarendon Road, Avondale",15.75,14,-1.75,51.51323,-0.211593
"Clarges Street, Mayfair",21.25,15,-6.25,51.507326,-0.145827
"Clarkson Street, Bethnal Green",27.5,25,-2.5,51.528692,-0.059091
"Claverton Street, Pimlico",48.5,76,27.5,51.484839,-0.138089
"Cleaver Street, Kennington",25.25,29,3.75,51.488105,-0.110121
"Clerkenwell Green, Clerkenwell",83.25,58,-25.25,51.52326,-0.104708
"Cleveland Gardens, Bayswater",35.25,36,0.75,51.515607,-0.183118
"Cleveland Way, Stepney",112.5,91,-21.5,51.520893,-0.051394
"Clifford Street, Mayfair",30,25,-5,51.510662,-0.142345
"Clifton Road, Maida Vale",39.5,29,-10.5,51.525575,-0.179592
"Clifton Street, Shoreditch",37.75,39,1.25,51.523196,-0.083067
"Clinton Road, Mile End",43.25,36,-7.25,51.525941,-0.036017
"Cloudesley Road, Angel",42,18,-24,51.534408,-0.109025
"Colet Gardens, Hammersmith",5.25,5,-0.25,51.491093,-0.216493
"Collingham Gardens, Earl's Court",39.25,42,2.75,51.491615,-0.186753
"Columbia Road, Shoreditch",54.5,57,2.5,51.528187,-0.075375
"Commercial Street, Shoreditch",49.75,37,-12.75,51.52127,-0.075578
"Concert Hall Approach 1, South Bank",29.25,16,-13.25,51.505044,-0.115851
"Concert Hall Approach 2, South Bank",37,23,-14,51.504942,-0.115533
"Coomer Place, West Kensington",62.25,48,-14.25,51.48357,-0.202038
"Copper Box Arena, Queen Elizabeth Olympic Park",36.5,41,4.5,51.544909,-0.020542
