StartStation Name,Average Count,Count,Count Change,Latitude,Longitude
"Knightsbridge, Hyde Park",59,58,-1,51.502757,-0.155349
"LMU Commercial Road, Whitechapel",66,71,5,51.514924,-0.066078
"LSBU (Borough Road), Elephant & Castle",36.5,49,12.5,51.498744,-0.103132
"Ladbroke Grove Central, Ladbroke Grove",17,6,-11,51.511624,-0.205921
"Lambeth North Station, Waterloo",34.75,34,-0.75,51.49914,-0.112031
"Lambeth Palace Road, Waterloo",127,76,-51,51.500089,-0.116628
"Lambeth Road, Vauxhall",41.25,33,-8.25,51.494881,-0.117974
"Lancaster Drive, Blackwall",11.75,14,2.25,51.503143,-0.008428
"Lancaster Gate , Bayswater",71.75,55,-16.75,51.511654,-0.179668
"Langdon Park, Poplar",10.25,2,-8.25,51.51549,-0.013475
"Lansdowne Drive, Hackney Central",36,35,-1,51.539834,-0.062806
"Lansdowne Road, Ladbroke Grove",43.75,42,-1.75,51.507481,-0.205535
"Lansdowne Walk, Ladbroke Grove",14.25,14,-0.25,51.509591,-0.204666
"Lavington Street, Bankside",53,52,-1,51.505224,-0.098031
"Leman Street, Aldgate",86.25,85,-1.25,51.512363,-0.069542
"Leonard Circus , Shoreditch",93.25,65,-28.25,51.524696,-0.084439
"Lexham Gardens, Kensington",48.5,37,-11.5,51.495866,-0.191933
"Lightermans Road, Millwall",27.25,35,7.75,51.499041,-0.020157
"Limburg Road, Clapham Junction",19,17,-2,51.461923,-0.165297
"Limerston Street, West Chelsea",114.75,108,-6.75,51.485587,-0.18119
"Lincoln's Inn Fields, Holborn",41,41,0,51.516277,-0.118272
"Lisson Grove, St. John's Wood",25,28,3,51.526448,-0.17219
"Little Argyll Street, West End",148,128,-20,51.514499,-0.141423
"Little Brook Green, Brook Green",34,28,-6,51.496664,-0.223868
"Liverpool Road (N1 Centre), Angel",64.5,55,-9.5,51.534504,-0.106992
"Lollard Street, Vauxhall",54,45,-9,51.49288,-0.114934
"London Fields, Hackney Central",122.25,132,9.75,51.54119,-0.058826
"London Street, Paddington",96,70,-26,51.515117,-0.173712
"London Zoo Car Park, The Regent's Park",29.75,20,-9.75,51.536922,-0.150181
"London Zoo,  The Regent's Park",24.25,18,-6.25,51.535836,-0.156285
"Long Lane , Bermondsey",54.5,32,-22.5,51.499075,-0.085666
"Longford Street, The Regent's Park",20.25,35,14.75,51.525595,-0.144083
"Lord's, St. John's Wood",21.75,19,-2.75,51.529121,-0.171185
"Lots Road, West Chelsea",37.25,32,-5.25,51.479573,-0.179038
"Lower Marsh, Waterloo",53,43,-10,51.500139,-0.113936
"Lower Thames Street, Monument",53,36,-17,51.509301,-0.084985
"Macclesfield Rd, St Lukes",72,83,11,51.529423,-0.097122
"Maida Vale, Maida Vale",61,70,9,51.529857,-0.183486
"Malet Street, Bloomsbury",71.5,64,-7.5,51.52168,-0.130431
"Mallory Street, Marylebone",25,21,-4,51.525051,-0.166304
"Malmesbury Road, Bow",12,11,-1,51.529452,-0.027616
"Manbre Road, Hammersmith",25.25,19,-6.25,51.485743,-0.223616
"Manresa Road, Chelsea",48.75,49,0.25,51.486892,-0.170983
"Maplin Street, Mile End",87.5,74,-13.5,51.525501,-0.032267
"Margery Street, Clerkenwell",38,35,-3,51.526599,-0.112432
"Marloes Road, Kensington",22.5,24,1.5,51.496481,-0.192404
"Marylebone Lane, Marylebone",73,71,-2,51.514759,-0.148105
"Merchant Street, Bow",21,21,0,51.526578,-0.027581
"Mexfield Road, East Putney",11,10,-1,51.45682,-0.202802
"Michael Road, Walham Green",29.5,25,-4.5,51.477276,-0.18921
"Mile End Park Leisure Centre, Mile End",38.5,62,23.5,51.520597,-0.032566
"Mile End Stadium, Mile End",50.5,40,-10.5,51.518541,-0.034903
"Millbank Tower, Pimlico",60.5,60,-0.5,51.491884,-0.125674
"Millharbour, Millwall",13.75,3,-10.75,51.496137,-0.019355
"Milroy Walk, South Bank",60.75,55,-5.75,51.507244,-0.106237
"Monier Road, Hackney Wick",46.75,48,1.25,51.540311,-0.02163
"Montpelier Street, Knightsbridge",75.25,60,-15.25,51.498884,-0.165471
"Montserrat Road , Putney",14,15,1,51.463211,-0.21555
"Monument Street, Monument",78.75,60,-18.75,51.50964,-0.08497
"Moor Street, Soho",111,86,-25,51.513527,-0.13011
"Moorfields, Moorgate",77.5,74,-3.5,51.519069,-0.088285
"Morie Street, Wandsworth",14.25,18,3.75,51.459953,-0.190184
"Mostyn Grove, Bow",33.5,36,2.5,51.530535,-0.025492
"Mudchute DLR, Cubitt Town",13.5,5,-8.5,51.490645,-0.014582
"Murray Grove , Hoxton",47.75,55,7.25,51.53089,-0.089782
"Museum of London, Barbican",89.75,80,-9.75,51.517821,-0.096496
"Nantes Close, Wandsworth",19.25,7,-12.25,51.46193,-0.180791
"Napier Avenue, Millwall",15.5,14,-1.5,51.487679,-0.021582
"Natural History Museum, South Kensington",54.75,49,-5.75,51.495592,-0.179077
"Naval Row, Blackwall",20.75,23,2.25,51.508981,-0.00699
"Nesham Street, Wapping",86.5,80,-6.5,51.507131,-0.06691
"Nevern Place, Earl's Court",26.5,39,12.5,51.493343,-0.194757
"Neville Gill Close, Wandsworth",30,17,-13,51.454752,-0.195197
"New Cavendish Street, Marylebone",68.75,58,-10.75,51.519167,-0.147983
"New Fetter Lane, Holborn",88.25,59,-29.25,51.517428,-0.107987
"New Globe Walk, Bankside",48.75,33,-15.75,51.507385,-0.09644
"New Inn Yard, Shoreditch",60.75,61,0.25,51.524526,-0.079248
"New Kent Road, The Borough",36.25,42,5.75,51.494436,-0.092921
"New North Road 2, Hoxton",15.75,22,6.25,51.53114,-0.086016
"New Road 1 , Whitechapel",76.5,59,-17.5,51.518154,-0.062697
"New Spring Gardens Walk, Vauxhall",29.25,19,-10.25,51.487807,-0.122759
"Newby Place, Poplar",10.25,10,-0.25,51.508896,-0.012413
"Newgate Street , St. Paul's",100.25,90,-10.25,51.515418,-0.09885
"Newton Street, Covent Garden",38.75,31,-7.75,51.516128,-0.120909
"Normand Park, West Kensington",69,65,-4,51.484386,-0.204815
"Normandy Road, Stockwell",47.25,44,-3.25,51.473874,-0.11258
"North Audley Street, Mayfair",66,65,-1,51.512911,-0.153645
"North Wharf Road, Paddington",65.25,46,-19.25,51.518622,-0.176645
"Northdown Street, King's Cross",33,19,-14,51.531066,-0.11934
"Northfields, Wandsworth",17,14,-3,51.460951,-0.200667
"Northington Street , Holborn",61,50,-11,51.522264,-0.114079
"Northumberland Avenue, Strand",84.5,58,-26.5,51.506767,-0.123702
"Norton Folgate, Liverpool Street",51.5,46,-5.5,51.521113,-0.078869
"Notting Hill Gate Station, Notting Hill",97,98,1,51.509353,-0.196422
"Nutford Place, Marylebone",35.5,36,0.5,51.516517,-0.164393
"Old Brompton Road, South Kensington",59.25,51,-8.25,51.490945,-0.18119
"Old Ford Road, Bethnal Green",37.5,23,-14.5,51.531127,-0.048017
"Old Montague Street, Whitechapel",56.25,50,-6.25,51.51793,-0.067937
"Old Quebec Street, Marylebone",123,100,-23,51.514577,-0.158264
"Old Street Station, St. Luke's",115.5,115,-0.5,51.52548,-0.089659
"Ontario Street, Elephant & Castle",48.5,46,-2.5,51.49652,-0.101384
"Orbel Street, Battersea",30.5,28,-2.5,51.474535,-0.17021
"Ormonde Gate, Chelsea",40,48,8,51.487964,-0.161765
"Orsett Terrace, Bayswater",16.25,20,3.75,51.517932,-0.183716
"Osiers Road, Wandsworth",32.5,32,-0.5,51.46067,-0.198735
"Ossulston Street, Somers Town",64,38,-26,51.5293,-0.128279
"Oxford Road, Putney",11,11,0,51.460792,-0.212607
"Paddington Green, Paddington",9,10,1,51.520205,-0.174593
"Page Street, Westminster",79.75,68,-11.75,51.493978,-0.127554
"Palace Gardens Terrace, Notting Hill",60.75,48,-12.75,51.508605,-0.193764
"Palace Gate, Kensington Gardens",116.5,68,-48.5,51.502042,-0.1844
"Palissy Street, Shoreditch",34,24,-10,51.526293,-0.073955
"Pall Mall East, West End",101.75,86,-15.75,51.50777,-0.130699
"Pancras Road, King's Cross",39.75,37,-2.75,51.534123,-0.129386
"Panton Street, West End",104.5,96,-8.5,51.509639,-0.13151
"Park Lane , Hyde Park",159.5,48,-111.5,51.510017,-0.157275
"Park Lane, Mayfair",36.75,26,-10.75,51.505426,-0.150817
"Park Road (Baker Street), The Regent's Park",84.75,60,-24.75,51.524517,-0.158963
"Park Street, Bankside",45,38,-7,51.505974,-0.092754
"Parkway, Camden Town",41.25,25,-16.25,51.538071,-0.144664
"Parson's Green , Parson's Green",58.75,48,-10.75,51.472817,-0.199783
"Parsons Green Station, Parsons Green",68.5,50,-18.5,51.475089,-0.201968
"Pembridge Villas, Notting Hill",34.75,28,-6.75,51.511084,-0.197524
"Penfold Street, Marylebone",17,20,3,51.522892,-0.171681
"Penywern Road, Earl's Court",65.75,64,-1.75,51.491593,-0.192369
"Percival Street, Finsbury",39.75,34,-5.75,51.526153,-0.102208
"Peterborough Road, Sands End",21.25,15,-6.25,51.46904,-0.196274
"Phene Street, Chelsea",64.75,64,-0.75,51.484984,-0.167919
"Phillimore Gardens, Kensington",68.25,70,1.75,51.499606,-0.197574
"Philpot Street, Whitechapel",48.75,35,-13.75,51.515256,-0.058641
"Pindar Street, Liverpool Street",33.5,23,-10.5,51.520955,-0.083493
"Pitfield Street Central, Hoxton",37,40,3,51.53213,-0.08299
"Pitfield Street North,Hoxton",91.25,97,5.75,51.53558,-0.08249
"Plough Terrace, Clapham Junction",26.25,22,-4.25,51.462305,-0.175407
"Podium, Queen Elizabeth Olympic Park",52.5,38,-14.5,51.538718,-0.011889
"Pont Street, Knightsbridge",52.5,41,-11.5,51.496886,-0.161203
"Porchester Place, Paddington",79.5,72,-7.5,51.514746,-0.165164
"Portland Place, Marylebone",52.75,51,-1.75,51.520715,-0.145211
"Portman Square, Marylebone",57.75,56,-1.75,51.516204,-0.155525
"Pott Street, Bethnal Green",57.75,63,5.25,51.527152,-0.058005
"Poured Lines, Bankside",41.5,24,-17.5,51.506692,-0.103137
"Preston's Road, Cubitt Town",21.25,10,-11.25,51.499286,-0.009152
"Prince Albert Road, The Regent's Park",50.25,36,-14.25,51.535892,-0.160854
"Prince Consort Road, Knightsbridge",27.75,36,8.25,51.499806,-0.176415
"Prince of Wales Drive, Battersea Park",46.25,46,-0.25,51.475153,-0.159169
"Princedale Road , Holland Park",34.25,34,-0.25,51.506465,-0.208486
"Princes Square, Bayswater",35.25,26,-9.25,51.513489,-0.191351
"Pritchard's Road, Bethnal Green",79,59,-20,51.532091,-0.06142
"Putney Bridge Road, East Putney",15,15,0,51.461999,-0.20624
"Putney Bridge Station, Fulham",28.25,26,-2.25,51.468814,-0.210279
"Putney Pier, Wandsworth",35.5,31,-4.5,51.466907,-0.216573
"Putney Rail Station, Putney",18.75,16,-2.75,51.460717,-0.216526
"Queen Mary's, Mile End",50.5,36,-14.5,51.522507,-0.041378
"Queen Mother Sports Centre, Victoria",70.5,83,12.5,51.493573,-0.139956
"Queen Street 1, Bank",116,99,-17,51.511553,-0.09294
"Queen Street 2, Bank",179.75,139,-40.75,51.511246,-0.093051
"Queen Victoria Street, St. Paul's",78,61,-17,51.511961,-0.097441
"Queen's Circus, Battersea Park",89,71,-18,51.477619,-0.149551
"Queen's Gate (Central), South Kensington",32.5,42,9.5,51.493967,-0.178732
"Queen's Gate (North), Kensington",60.75,66,5.25,51.501026,-0.180246
"Queen's Gate (South), South Kensington",65.25,50,-15.25,51.492479,-0.178433
"Queen's Gate, Kensington Gardens",121.25,75,-46.25,51.501715,-0.179854
"Queensbridge Road, Haggerston",27.25,24,-3.25,51.53385,-0.06992
"Queensdale Road, Shepherd's Bush",20.75,18,-2.75,51.50659,-0.216104
"Queensway, Kensington Gardens",113.25,78,-35.25,51.51031,-0.187402
"Rainville Road, Hammersmith",28.5,23,-5.5,51.483732,-0.223852
"Ram Street, Wandsworth",57.25,43,-14.25,51.457529,-0.192165
"Rampayne Street, Pimlico",69.75,83,13.25,51.489975,-0.132845
"Ranelagh Gardens, Fulham",26.75,25,-1.75,51.467601,-0.206827
"Rathbone Street, Fitzrovia",41.25,34,-7.25,51.518162,-0.135025
"Ravenscourt Park Station, Hammersmith",46.5,45,-1.5,51.494223,-0.236769
"Reardon Street, Wapping",41.5,35,-6.5,51.506946,-0.058681
"Rectory Square, Stepney",27.25,31,3.75,51.518369,-0.043371
"Red Lion Square, Holborn",38.25,38,-0.25,51.519435,-0.119123
"Red Lion Street, Holborn",78.75,56,-22.75,51.51824,-0.11655
"Regency Street, Westminster",48.75,29,-19.75,51.49206,-0.132224
"Richmond Way, Shepherd's Bush",43.5,34,-9.5,51.500353,-0.217515
"Rifle Place, Avondale",15,28,13,51.509224,-0.216016
"Risinghill Street, Angel",22,13,-9,51.533319,-0.111781
"River Street , Clerkenwell",29,22,-7,51.529163,-0.10997
"Riverlight North, Nine Elms",70.75,81,10.25,51.482362,-0.136123
"Riverlight South, Nine Elms",62.25,42,-20.25,51.481335,-0.138212
"Rochester Row, Westminster",38.75,39,0.25,51.495827,-0.135478
"Rodney Road , Walworth",47,39,-8,51.491484,-0.09022
"Roscoe Street, St. Luke's",39.25,51,11.75,51.522954,-0.094934
"Rotherhithe Roundabout, Rotherhithe",34,32,-2,51.499169,-0.055846
"Royal Avenue 1, Chelsea",31.5,25,-6.5,51.489932,-0.162727
"Royal Avenue 2, Chelsea",52.25,55,2.75,51.490083,-0.162418
"Royal College Street, Camden Town",32.75,30,-2.75,51.536264,-0.133952
"Royal London Hospital, Whitechapel",105.75,87,-18.75,51.518675,-0.06111
"Russell Gardens, Olympia",21,21,0,51.500088,-0.211316
"Russell Square Station, Bloomsbury",70.75,54,-16.75,51.523418,-0.124121
"Sackville Street, Mayfair",58,56,-2,51.510048,-0.138846
"Sadlers Sports Centre, Finsbury",55.25,47,-8.25,51.524868,-0.099489
"Sail Street, Vauxhall",27.25,28,0.75,51.495656,-0.114605
"Salmon Lane, Limehouse",49.5,43,-6.5,51.514115,-0.033828
"Saltoun Road, Brixton",44,30,-14,51.460232,-0.115375
"Sancroft Street, Vauxhall",26.75,30,3.25,51.489479,-0.115156
"Sandilands Road, Walham Green",45.5,45,-0.5,51.473611,-0.191803
"Santos Road, Wandsworth",8.25,6,-2.25,51.457059,-0.200806
"Sardinia Street, Holborn",36,35,-1,51.515208,-0.117863
"Saunders Ness Road, Cubitt Town",30,15,-15,51.487129,-0.009001
"Scala Street, Fitzrovia",47.5,39,-8.5,51.519914,-0.136039
"Sea Containers, South Bank",89.75,82,-7.75,51.508033,-0.106823
"Sedding Street, Sloane Square",89.5,87,-2.5,51.49313,-0.156876
"Selby Street, Whitechapel",40.5,29,-11.5,51.521905,-0.063386
"Serpentine Car Park, Hyde Park",188.25,83,-105.25,51.505014,-0.17306
"Seville Street, Knightsbridge",61.66666667,97,35.33333333,51.501855,-0.159237
"Seymour Place, Marylebone",39,40,1,51.520331,-0.163667
"Shadwell Station, Shadwell",51.25,50,-1.25,51.511088,-0.057159
"Sheepcote Lane, Battersea",35.75,21,-14.75,51.470538,-0.163041
"Shepherd's Bush Road North, Shepherd's Bush",38.75,51,12.25,51.501594,-0.222293
"Shoreditch Court, Haggerston",39,26,-13,51.539083,-0.070329
"Shoreditch High Street, Shoreditch",108.75,73,-35.75,51.526377,-0.07813
"Shoreditch Park, Hoxton",53.5,62,8.5,51.534042,-0.086379
"Shouldham Street, Marylebone",48.25,32,-16.25,51.51809,-0.163609
"Sidney Road, Stockwell",28.25,32,3.75,51.469202,-0.119022
"Silverthorne Road, Battersea",34.5,32,-2.5,51.472865,-0.148059
"Simpson Street, Clapham Junction",62.25,57,-5.25,51.470847,-0.170703
"Sirdar Road, Avondale",11,19,8,51.510928,-0.214594
"Sloane Avenue, Knightsbridge",92.75,87,-5.75,51.493184,-0.167894
"Smith Square, Westminster",48,55,7,51.495805,-0.127575
"Smugglers Way, Wandsworth",29.5,22,-7.5,51.461083,-0.191722
"Snow Hill, Farringdon",44.5,41,-3.5,51.517334,-0.103604
"Snowsfields, London Bridge",70.5,70,-0.5,51.502153,-0.083632
"Soho Square , Soho",155.25,88,-67.25,51.515631,-0.132328
"Somerset House, Strand",85.75,80,-5.75,51.509943,-0.117619
"Sopwith Way, Battersea Park",73.75,53,-20.75,51.481121,-0.149035
"South Audley Street, Mayfair",25.5,24,-1.5,51.50923,-0.151289
"South Kensington Station, South Kensington",102.25,104,1.75,51.494412,-0.173881
"South Lambeth Road, Vauxhall",60,58,-2,51.481747,-0.124642
"South Parade, Chelsea",40.25,33,-7.25,51.48902,-0.17524
"South Park, Sands End",39.25,20,-19.25,51.467064,-0.193502
"South Quay East, Canary Wharf",11.5,6,-5.5,51.50196,-0.016251
"South Wharf Road, Paddington",76.25,55,-21.25,51.517335,-0.17581
"Southampton Place, Holborn",50,47,-3,51.517606,-0.121328
"Southampton Street, Strand",68.5,39,-29.5,51.510701,-0.121723
"Southern Grove, Bow",28.25,30,1.75,51.523538,-0.030556
"Southerton Road, Hammersmith",39.75,36,-3.75,51.494499,-0.228188
"Southwark Station 1, Southwark",66,35,-31,51.504043,-0.105312
"Southwark Station 2, Southwark",39.5,27,-12.5,51.504044,-0.104778
"Southwark Street, Bankside",36.75,29,-7.75,51.505409,-0.098341
"Southwick Street, Paddington",32,33,1,51.515953,-0.169249
"Spanish Road, Clapham Junction",11.25,15,3.75,51.459225,-0.180884
"Spencer Park, Wandsworth Common",11.25,12,0.75,51.45787,-0.174691
"Spindrift Avenue, Millwall",16.75,12,-4.75,51.49109,-0.018716
"St John's Crescent, Brixton",19.25,21,1.75,51.466232,-0.113179
"St Martins Close, Camden Town",18.75,14,-4.75,51.538792,-0.138535
"St Mary's Hospital, Paddington",91.5,53,-38.5,51.518268,-0.171103
"St. Bride Street, Holborn",56.75,40,-16.75,51.515059,-0.105344
"St. Chad's Street, King's Cross",29,29,0,51.530059,-0.120973
"St. George Street, Mayfair",52,53,1,51.51196,-0.142783
"St. George's Square, Pimlico",56.75,2,-54.75,51.488226,-0.135635
"St. James's Square, St. James's",162,110,-52,51.507424,-0.134621
"St. John Street, Finsbury",25.5,19,-6.5,51.52836,-0.104724
"St. John's Park, Cubitt Town",13.5,16,2.5,51.496454,-0.009506
"St. John's Road, Clapham Junction",50.25,38,-12.25,51.462392,-0.168292
"St. John's Wood Church, The Regent's Park",41.25,35,-6.25,51.530529,-0.167515
"St. John's Wood Road, St. John's Wood",41.5,37,-4.5,51.527294,-0.174653
"St. Katharine's Way, Tower",50.5,33,-17.5,51.505697,-0.070542
"St. Luke's Church, Chelsea",52,43,-9,51.489716,-0.170194
"St. Mark's Road, North Kensington",30.75,38,7.25,51.51687,-0.213872
"St. Martin's Street, West End",44.75,43,-1.75,51.509087,-0.129697
"St. Mary & St. Michael Church, Stepney",13.75,24,10.25,51.51417,-0.052099
"St. Mary Axe, Aldgate",50.25,53,2.75,51.514225,-0.08066
"St. Peter's Terrace, Fulham",43.75,33,-10.75,51.478939,-0.208485
"Stamford Street, South Bank",50,45,-5,51.505569,-0.111606
"Stanhope Gate, Mayfair",33.5,32,-1.5,51.506864,-0.150666
"Stanley Grove, Battersea",24.75,27,2.25,51.470475,-0.15213
"Star Road, West Kensington",36,29,-7,51.487244,-0.205279
"Stebondale Street, Cubitt Town",14.5,20,5.5,51.489096,-0.009205
"Stephendale Road, Sands End",63.5,60,-3.5,51.46822,-0.190346
"Stepney Green Station, Stepney",69.25,72,2.75,51.521889,-0.04667
"Stewart's Road, Wandsworth Road",23.5,21,-2.5,51.473116,-0.137235
"Store Street, Bloomsbury",68,42,-26,51.519572,-0.13214
"Strand, Strand",62.5,54,-8.5,51.512582,-0.115057
"Strata, Elephant & Castle",105,96,-9,51.493146,-0.099828
"Stratford Station, Stratford",56.25,36,-20.25,51.541793,-0.00481
"Sugden Road, Clapham",33.75,35,1.25,51.465123,-0.157788
"Sumner Place, South Kensington",41,31,-10,51.491211,-0.173715
"Sun Street, Liverpool Street",60.5,54,-6.5,51.520009,-0.083935
"Surrey Lane, Battersea",44.25,36,-8.25,51.47518,-0.16716
"Sutton Street, Shadwell",78.75,60,-18.75,51.511066,-0.053558
"Swan Street, The Borough",42.75,34,-8.75,51.500296,-0.092762
"Tachbrook Street, Victoria",49.25,39,-10.25,51.492111,-0.138364
"Tallis Street, Temple",49,31,-18,51.511891,-0.107349
"Tanner Street, Bermondsey",58.75,62,3.25,51.500647,-0.0786
"Tate Modern, Bankside",63,41,-22,51.506725,-0.098807
"Tavistock Place, Bloomsbury",43.5,39,-4.5,51.52625,-0.123509
"Tavistock Street, Covent Garden",83.75,69,-14.75,51.511968,-0.120718
"Taviton Street, Bloomsbury",59.75,43,-16.75,51.52505,-0.131161
"Temple Gardens, Temple",83.5,63,-20.5,51.510981,-0.108322
"Teversham Lane, Stockwell",27,27,0,51.476149,-0.123258
"Teviot Street, Poplar",7.25,11,3.75,51.518811,-0.011662
"The Guildhall, Guildhall",31.25,26,-5.25,51.515735,-0.09308
"The Metropolitan, Portobello",36,37,1,51.520509,-0.200804
"The Tennis Courts, The Regent's Park",59.25,45,-14.25,51.525367,-0.153463
"The Vale, Chelsea",63.25,69,5.75,51.485121,-0.174971
"Theobald's Road , Holborn",62.75,62,-0.75,51.520596,-0.116688
"Thorndike Close, West Chelsea",31.25,37,5.75,51.480898,-0.183853
"Timber Lodge, Queen Elizabeth Olympic Park",52,59,7,51.546805,-0.014691
"Tooley Street, Bermondsey",142.75,147,4.25,51.503493,-0.07962
"Torrens Street, Angel",36,24,-12,51.532199,-0.10548
"Tower Gardens , Tower",114.5,108,-6.5,51.509506,-0.075459
"Tower Wharf, Bermondsey",53.75,47,-6.75,51.500845,-0.074704
"Trebovir Road, Earl's Court",42.75,49,6.25,51.490853,-0.19617
"Triangle Car Park, Hyde Park",187.5,102,-85.5,51.506451,-0.170279
"Turquoise Island, Notting Hill",52.5,55,2.5,51.514311,-0.200838
"Twig Folly Bridge, Mile End",60.25,50,-10.25,51.530326,-0.042744
"Tyers Gate, Bermondsey",41.25,45,3.75,51.500889,-0.083159
"Tysoe Street, Clerkenwell",71.75,71,-0.75,51.526443,-0.109256
"Union Grove, Wandsworth Road",40,41,1,51.472993,-0.133972
"Union Street, The Borough",47,37,-10,51.503688,-0.098497
"Upcerne Road, West Chelsea",50,34,-16,51.478169,-0.182435
"Upper Bank Street, Canary Wharf",73.5,42,-31.5,51.503083,-0.017676
"Upper Grosvenor Street, Mayfair",25.25,33,7.75,51.51013,-0.155757
"Upper Richmond Road, Putney",20.5,12,-8.5,51.459715,-0.212145
"Usk Road, Clapham Junction",37.5,45,7.5,51.463489,-0.182126
"Vauxhall Bridge , Pimlico",34.75,25,-9.75,51.488365,-0.129361
"Vauxhall Cross, Vauxhall",120.5,126,5.5,51.485917,-0.124469
"Vauxhall Street, Vauxhall",49.75,51,1.25,51.486965,-0.116625
"Vauxhall Walk, Vauxhall",31.5,31,-0.5,51.488124,-0.120903
"Vereker Road, West Kensington",45.5,47,1.5,51.489591,-0.209378
"Vicarage Crescent, Battersea",57.75,48,-9.75,51.472876,-0.176267
"Vicarage Gate, Kensington",21,26,5,51.504723,-0.192538
"Victoria & Albert Museum, South Kensington",32.25,19,-13.25,51.495898,-0.173009
"Victoria Park Road, Hackney Central",57.5,33,-24.5,51.536424,-0.054162
"Victoria Rise, Clapham Common",45,50,5,51.461376,-0.147804
"Victory Place, Walworth",32.5,30,-2.5,51.492807,-0.091938
"Vincent Square, Westminster",32.5,25,-7.5,51.493985,-0.136928
"Vincent Street, Pimlico",44.75,38,-6.75,51.493072,-0.129925
"Walmer Road, Avondale",17,21,4,51.510101,-0.211358
"Walnut Tree Walk, Vauxhall",44.75,41,-3.75,51.493686,-0.111014
"Walworth Square, Walworth",58.75,32,-26.75,51.491327,-0.096518
"Wandsworth Rd, Isley Court, Wandsworth Road",35,40,5,51.469259,-0.141812
"Wandsworth Town Station, Wandsworth",44,28,-16,51.460864,-0.187427
"Wapping High Street, Wapping",36.75,29,-7.75,51.504904,-0.06797
"Wapping Lane, Wapping",61,50,-11,51.504749,-0.057544
"Wardour Street, Soho",100,95,-5,51.512515,-0.133201
"Warren Street Station, Euston",111.75,102,-9.75,51.524438,-0.138019
"Warwick Avenue Station, Maida Vale",64,42,-22,51.523344,-0.183846
"Warwick Road, Olympia",69.5,77,7.5,51.496712,-0.205284
"Warwick Row, Westminster",104.25,101,-3.25,51.497998,-0.14296
"Warwick Square, Pimlico",49,53,4,51.489856,-0.141923
"Waterloo Bridge, South Bank",31,25,-6,51.505354,-0.113656
"Waterloo Place, St. James's",51.75,30,-21.75,51.506633,-0.131773
"Waterloo Road, South Bank",36,33,-3,51.50486,-0.113001
"Waterloo Station 1, Waterloo",260.25,114,-146.25,51.504027,-0.113864
"Waterloo Station 2, Waterloo",132.5,66,-66.5,51.503919,-0.113426
"Waterloo Station 3, Waterloo",232.5,161,-71.5,51.503791,-0.112824
"Watney Market, Stepney",41,46,5,51.514222,-0.055656
"Watney Street, Shadwell",53.5,61,7.5,51.511542,-0.056667
"Webber Street , Southwark",56.5,38,-18.5,51.500693,-0.102091
"Wellington Arch, Hyde Park",186.75,153,-33.75,51.50274,-0.149569
"Wellington Road, St. John's Wood",40,40,0,51.533043,-0.172528
"Wellington Row, Bethnal Green",41,59,18,51.528222,-0.069743
"Wellington Street , Strand",90.5,75,-15.5,51.511756,-0.119643
"Wells Street, Fitzrovia",87.25,72,-15.25,51.517344,-0.138072
"Wendon Street, Old Ford",31.75,29,-2.75,51.536039,-0.026262
"Wenlock Road , Hoxton",66.25,74,7.75,51.530991,-0.093903
"West Cromwell Road, Earl's Court",39,44,5,51.493724,-0.198286
"West Kensington Station, West Kensington",37.75,31,-6.75,51.49087,-0.206029
"West Smithfield Rotunda, Farringdon",71.75,60,-11.75,51.518218,-0.100791
"Westbourne Grove, Bayswater",49.5,44,-5.5,51.515529,-0.19024
"Westbourne Park Road, Portobello",33.5,19,-14.5,51.51787,-0.201005
"Westbridge Road, Battersea",82.25,63,-19.25,51.477684,-0.170329
"Westferry Circus, Canary Wharf",64,95,31,51.505703,-0.027772
"Westferry DLR, Limehouse",68,57,-11,51.509303,-0.025996
"Westfield Ariel Way, White City",69,74,5,51.509158,-0.224103
"Westfield Southern Terrace ,Shepherd's Bush",31,38,7,51.506256,-0.218337
"Westminster Bridge Road, Elephant & Castle",9.25,8,-1.25,51.498386,-0.107913
"Westminster Pier, Westminster",151.75,132,-19.75,51.501513,-0.123823
"Westminster University, Marylebone",39.5,27,-12.5,51.522481,-0.154907
"Whiston Road, Haggerston",32.25,27,-5.25,51.534464,-0.076341
"Whitehall Place, Strand",150.75,109,-41.75,51.506543,-0.123179
"William IV Street, Strand",106,62,-44,51.509462,-0.124749
"William Morris Way, Sands End",41.75,34,-7.75,51.468819,-0.184318
"Windsor Terrace, Hoxton",44.75,15,-29.75,51.529154,-0.093421
"Wood Street, Guildhall",29,30,1,51.517008,-0.093885
"Woodstock Grove, Shepherd's Bush",66,48,-18,51.504038,-0.2174
"Woodstock Street, Mayfair",43.25,40,-3.25,51.514105,-0.147301
"World's End Place, West Chelsea",62.5,51,-11.5,51.481805,-0.180274
"Wormwood Street, Liverpool Street",218.25,158,-60.25,51.516154,-0.082422
"Worship Street, Shoreditch",62,67,5,51.521668,-0.079608
"Wren Street, Holborn",38,22,-16,51.524564,-0.116279
"Wright's Lane, Kensington",80.5,66,-14.5,51.500397,-0.193068
"Wynne Road, Stockwell",20.25,19,-1.25,51.469217,-0.112686
"York Hall, Bethnal Green",49.75,52,2.25,51.528936,-0.055894
"York Way, Kings Cross",47.75,34,-13.75,51.541596,-0.125441
"Pennington Street, Wapping",16.66666667,15,-1.666666667,51.508622,-0.065006
